Q0055-2629 	 00:57:57.9 	-26:43:14
Q0055-0200 	 00:57:48.60 	-01:44:23.0
Q0055+0025 	 00:58:24.75 	+00:41:13.3
Q0056-0241 	 00:59:20.30 	-02:25:41.0
Q0057-0225 	 01:00:16.52 	-02:09:14.0
Q0057-274 	 01:00:12.26 	-27:08:52.2
Q0058-2604 	 01:00:31.60 	-25:48:34.5
Q0058-0227 	 01:00:44.70 	-02:11:16.0
Q0058+0155 	 01:00:54.16 	+02:11:36.5
Q0059-0207 	 01:01:42.30 	-01:51:52.0
Q0059-2625 	 01:01:52.81 	-26:08:58.5
Q0059+0035 	 01:02:27.51 	+00:51:36.8
PSSJ0059+0003 	 00:59:22.65 	+00:03:01.4
Q0100+0146 	 01:03:08.34 	+02:02:19.5
Q0101-2548 	 01:03:33.30 	-25:32:23.9
Q0101-3025 	 01:03:55.20 	-30:09:47.0
Q0102-0240 	 01:04:54.14 	-02:24:05.5
BRIB0103+0032 	 01:06:19.24 	+00:48:23.4
Q0103-0141 	 01:05:40.30 	-01:24:57.0
Q0103-2901 	 01:05:56.52 	-28:45:29.1
Q0104+0030 	 01:06:48.03 	+00:46:27.7
PC0104+0215 	 01:06:49.64 	+02:31:01.5
Q0105-2649 	 01:07:41.9 	-26:33:29
Q0106-0230 	 01:08:36.20 	-02:14:32.0
Q0106+0119 	 01:08:38.77 	+01:35:00.3
Q0107+0022 	 01:09:54.38 	+00:38:13.1
Q0108+0028 	 01:10:38.09 	+00:44:54.0
Q0109+022 	 01:12:16.91 	+02:29:47.6
Q0110-0107 	 01:12:40.24 	-00:52:03.5
Q0112-2728   	 00:00:00       -50:00:00.0
Q0114-0856 	 01:17:23.34 	-08:41:32.0
Q0115-3002   	 00:00:00       -50:00:00.0
PSSJ0117+1552 	 01:17:31.17 	+15:52:16.3
Q0117+213 	 01:20:17.26 	+21:33:46.4
Q0119-286 	 01:21:51.51 	-28:20:57.9
Q0119-013 	 01:21:59.83 	-01:02:24.1
Q0123+257 	 01:26:42.79 	+25:59:01.3
PC0131+0120 	 01:33:48.83 	+01:36:16.7
PSSJ0131+0633 	 01:31:12.2 	+06:33:40
Q0132-1947 	 01:34:38.62 	-19:32:06.6
Q0134+329 	 01:37:41.30 	+33:09:35.1
BRIB0135-4239 	 01:37:24.41 	-42:24:16.8
Q0136+010   	01:39:02.4 +06:15:37
Q0136+1737 	 01:39:41.98 	+17:53:07.5
Q0143-0135 	 01:45:51.25 	-01:20:30.2
Q0148+2502   	 00:00:00       -50:00:00.0
Q0148-0946 	 01:51:06.60 	-09:32:00.0
BRIB0151-0025 	 01:53:39.61 	-00:11:04.9
Q0153+0430 	 01:56:36.03 	+04:45:28.1
Q0157+001 	 01:59:50.24 	+00:23:40.9
Q0159+036 	 02:01:59.7 	+03:50:42
Q0205+024 	 02:07:49.86 	+02:42:55.9
Q0207-0019 	 02:09:50.71 	-00:05:06.4
J0211-0009    	 02:11:02.72  	-00:09:10.2
Q0215+015 	 02:17:48.95 	+01:44:49.7
Q0219+428 	 02:22:39.61 	+43:02:07.8
Q0229+1309 	02:31:45.89 +13:22:54.7
Q0232-042 	 02:35:07.39 	-04:02:05.7
Q0232-042 	 02:35:07.39 	-04:02:05.7
BRJ0234-1806 	 02:34:55.14 	-18:06:08.5
Q0237-233 	 02:40:08.17 	-23:09:15.7
Q0239-1527 	 02:41:56.50 	-15:14:41.0
BRIB0241-0146 	02:44:01.80 -01:34:02.0
BRB0245-0608 	 02:47:56.50 	-05:55:58.0
PSSJ0248+1802 	 02:48:54.27 	+18:02:50.3
Q0249-1826 	 02:51:48.02 	-18:14:29.1
Q0249-2212 	 02:51:40.39 	-22:00:26.7
Q0252+0136 	 02:55:15.24 	+01:48:28.4
Q0254+0000 	 02:56:44.69 	+00:12:45.9
Q0256-0000 	 02:59:05.63 	+00:11:21.9
Q0256-0031 	 02:59:28.51 	-00:19:59.9
Q0258+0210 	 03:00:46.03 	+02:22:45.0
Q0301-0035 	 03:03:41.05 	-00:23:21.8
Q0302-0019 	 03:04:49.86 	-00:08:13.4
Q0305+0127 	 03:08:03.39 	+01:39:19.7
Q0307-0058 	 03:10:03.01 	-00:46:45.7
Q0308+0129 	 03:11:25.85 	+01:41:00.8
Q0308+1902 	 03:11:42.66 	+19:13:40.2
Q0308-1920 	 03:10:28.15 	-19:09:42.9
BRJ0311-1722 	 03:11:15.20 	-17:22:47.4
Q0312-770 	 03:11:55.25 	-76:51:50.8
Q0316-2023 	 03:18:25.20 	-20:12:19.0
Q0323+022 	 03:26:13.95 	+02:25:14.8
BRJ0324-2918 	 03:24:44.28 	-29:18:21.1
Q0329-2534 	 03:31:09.00 	-25:24:43.0
Q0334-2029 	 03:36:26.98 	-20:19:40.3
PC0345+0130 	 03:48:02.3 	+01:39:18
BRB0351-1034 	 03:53:46.90 	-10:25:19.0
Q0351-3904 	 03:53:19.29 	-38:55:56.2
Q0352-2732 	 03:54:05.58 	-27:24:20.7
BRJ0355-3811 	 03:55:04.87 	-38:11:42.3
BRB0401-1711 	 04:03:56.6 	-17:03:23
J0403-1703 	04:03:56.6 -17:03:23
Q0405-123 	 04:07:48.43 	-12:11:36.7
Q0414-060 	 04:17:16.78 	-05:53:45.5
BRJ0415-4357 	 04:15:15.17 	-43:57:52.9
BRJ0419-5716 	 04:19:50.94 	-57:16:13.0
Q0420+007 	 00:00:00       -50:00:00
Q0420-3851 	 04:22:14.79 	-38:44:52.7
BRJ0426-2202 	 04:26:10.33 	-22:02:17.3
Q0428-1342 	 04:30:38.80 	-13:35:46.0
Q0454-220 	 04:56:08.93 	-21:59:09.5
Q0454+039 	 04:56:47.11 	+04:00:53.1
Q0457+024 	 04:59:52.05 	+02:29:31.2
Q0504+0303 	05:07:36.47 +03:07:52.3
Q0521-365 	 05:22:57.98 	-36:27:30.9
PMNJ0525-3343 	 05:25:06.17 	-33:43:05.3
BRJ0529-3526 	 05:29:15.89 	-35:26:03.6
BRJ0529-3552 	 05:29:20.81 	-35:52:34.1
Q0537-441 	 05:38:50.36 	-44:05:08.9
Q0548-322 	 05:50:40.60 	-32:16:16.4
Q0552+398 	 05:55:30.81 	+39:48:49.2
Q0558-504 	 05:59:46.78 	-50:26:39.3
Q0624+691   	06:30:02.50 	+69:05:04.0
Q0636+6801 	 06:42:04.26 	+67:58:35.6
Q0637-752 	 06:35:46.51 	-75:16:16.8
Q0642+4454 	 06:46:32.03 	+44:51:16.6
Q0702+646     	 00:00:00       -60:00:00
BRJ0714-6455 	 07:14:31.37 	-64:55:10.6
Q0731+6519 	 07:36:21.26 	+65:13:11.7
Q0735+178 	 07:38:07.39 	+17:42:19.0
Q0736+017 	 07:39:18.03 	+01:37:04.6
Q0742+318 	 07:45:41.67 	+31:42:56.6
Q0743-673 	 07:43:31.61 	-67:26:25.5
Q0749+4239   	 00:00:00       -50:00:00.0
PC0751+5623 	 07:55:44.0 	+56:15:07
Q0754+100 	 07:57:06.64 	+09:56:34.9
Q0754+394 	 07:58:00.06 	+39:20:29.0
Q0804+761 	 08:10:58.66 	+76:02:42.5
Q0805+0441 	 08:07:57.50 	+04:32:34.5
Q0812+332 	 08:15:34.20 	+33:05:29.0
Q0819-032 	 08:21:40.00 	-03:23:12.0
Q0820+296 	 08:23:41.13 	+29:28:28.2
Q0830+1009   	 00:00:00       -50:00:00.0
Q0830+1133 	 08:33:14.37 	+11:23:36.2
Q0831+1238   	 00:00:00       -50:00:00.0
Q0837-120 	 08:39:50.58 	-12:14:34.3
Q0844+349 	 08:47:42.43 	+34:45:04.4
Q0846+152 	 08:49:38.15 	+15:06:22.3
Q0848+1533 	08:50:51.79 +15:22:15.4
Q0849+080    	 00:00:00       -60:00:00
Q0851+202 	 08:54:48.87 	+20:06:30.6
Q0855+182 	 08:58:49.00 	+18:01:11.0
Q0903+155 	 09:05:51.90 	+15:22:48.0
Q0906+0406   	 00:00:00       -50:00:00.0
Q0906+484 	 09:10:10.07 	+48:13:41.6
Q0910+403 	 09:14:05.20 	+40:06:49.3
Q0914-621 	 09:16:09.41 	-62:19:29.5
Q0916+555    	 00:00:00       -60:00:00
Q0932+3646 	 09:35:31.84 	+36:33:17.6
Q0933+733 	 09:37:48.80 	+73:01:58.0
Q0938+1159 	 09:41:13.56 	+11:45:32.3
Q0941+2608 	 09:44:42.34 	+25:54:43.4
Q0953+414 	 09:56:52.41 	+41:15:22.1
Q0955+326 	 09:58:20.95 	+32:24:02.2
Q0956+1217 	 09:58:52.23 	+12:02:45.7
Q0957+561 	 10:01:20.99 	+55:53:56.5
Q0958+551 	 10:01:29.86 	+54:54:39.9
Q1001+291 	 10:04:02.59 	+28:55:35.8
Q1004+130 	 10:07:26.11 	+12:48:56.2
Q1004+1411 	 10:07:41.50 	+13:56:29.6
Q1007+417 	 10:10:27.54 	+41:32:39.1
Q1009-0252 	 10:12:15.89 	-03:07:02.9
Q1011-282 	 10:13:29.6 	-28:31:26
Q1011-0144 	 10:14:14.10 	-01:59:18.0
Q1011+250 	 10:13:53.43 	+24:49:16.4
Q1012+008 	 10:14:54.88 	+00:33:36.8
Q1012-0206 	 10:15:06.53 	-02:21:18.1
Q1013+2052   	 00:00:00       -50:00:00.0
Q1014+0023 	 10:16:35.98 	+00:08:51.0
Q1016-0039 	 10:18:59.96 	-00:54:20.3
Q1017+1055 	 10:20:10.04 	+10:40:02.0
Q1017+280 	 10:19:56.60 	+27:44:01.8
Q1018-0005 	 10:20:59.57 	-00:20:26.3
Q1020+0028 	 10:23:29.95 	+00:13:10.1
Q1021-0037 	 10:24:29.59 	-00:52:55.5
Q1024+0030 	 10:26:36.95 	+00:15:30.3
Q1025-0030 	 10:28:32.09 	-00:46:07.0
J1028-0844 	10:28:38.70 -08:44:38.0
Q1028+313 	 10:30:59.09 	+31:02:55.7
Q1029-140 	 10:31:54.31 	-14:16:51.3
Q1033+1342 	 10:36:26.90 	+13:26:52.0
BRB1033-0327 	 10:36:23.70 	-03:43:20.0
Q1038+528 	 10:41:48.90 	+52:33:55.6
Q1041+3014   	 00:00:00       -50:00:00.0
Q1047+550 	 10:50:45.72 	+54:47:19.1
BRIB1050-0000 	 10:53:20.42 	-00:16:49.6
Q1100+772 	 11:04:13.69 	+76:58:58.0
Q1100-264 	 11:03:25.29 	-26:45:15.7
Q1101+0248   	 00:00:00       -50:00:00.0
Q1103-006 	 11:06:31.78 	-00:52:52.4
BRIB1110+0106 	 11:12:46.30 	+00:49:57.4
Q1115+080 	 11:18:16.98 	+07:45:59.4
Q1115+080 	 11:18:16.98 	+07:45:59.4
Q1116+215 	 11:19:08.70 	+21:19:18.0
Q1123+264 	 11:25:53.71 	+26:10:20.0
Q1124+5706 	 11:27:40.13 	+56:50:14.8
Q1127+078 	 11:30:17.5 	+07:32:19
Q1128+105 	 11:30:38.3 	+10:14:48
Q1131-0043 	 11:34:12.91 	-00:59:47.6
Q1132-0054 	 11:35:14.95 	-01:11:13.9
Q1135-0255 	 11:38:00.37 	-03:11:47.7
Q1136-135 	 11:39:10.70 	-13:50:43.6
Q1136+122 	 11:39:19.27 	+11:58:07.1
Q1137+660 	 11:39:57.00 	+65:47:49.5
Q1138-0107 	 11:40:42.23 	-01:24:09.4
Q1139-0139 	 11:42:09.90 	-01:56:25.0
Q1139-0037 	 11:42:11.59 	-00:53:44.2
Q1142+0138 	 11:44:40.30 	+01:21:43.8
Q1142+1015 	 11:44:36.70 	+09:59:10.7
Q1143+0142 	 11:45:51.66 	+01:26:06.5
Q1143+099 	 11:46:08.1 	+09:42:19
Q1144+115 	 00:00:00       -50:00:00
Q1144+0140 	 11:46:59.96 	+01:23:52.2
Q1145-0039 	 11:47:45.57 	-00:56:09.4
Q1145+0121 	 11:47:52.67 	+01:04:30.8
Q1146+0207 	 11:49:00.33 	+01:51:17.1
Q1147+084 	 11:50:23.6 	+08:08:55
Q1147+4348   	 00:00:00       -50:00:00.0
Q1148-0007 	 11:50:43.87 	-00:23:54.2
Q1148+0055 	 11:51:15.38 	+00:38:27.0
Q1148+549 	 11:51:20.45 	+54:37:33.1
Q1151+117 	 11:53:49.20 	+11:28:29.4
Q1156+295 	 11:59:31.83 	+29:14:43.8
Q1159+0039   	 00:00:00       -50:00:00.0
Q1202+281 	 12:04:42.11 	+27:54:11.5
Q1205-3014   	 00:00:00       -50:00:00.0
Q1206+1155 	 12:09:17.98 	+11:38:30.6
Q1206+1500 	 12:08:48.56 	+14:43:37.3
Q1206+1727 	 12:09:01.10 	+17:11:06.0
Q1206+459 	 12:08:58.01 	+45:40:35.4
Q1206+459 	 12:08:58.01 	+45:40:35.4
