4460.560 	1000    good	Ar II (12)
4462.19 	1000    good	XeII 1000  
4465.6461 	1000    good	NeI 50   
4466.8070 	1000    good	NeI 70   
4471.3762 	1000    good	ArII
4474.759 	1000    good	ArII 100
4475.6540 	1000    good	NeI 100   
4480.35		1000    good
4480.86 	1000    good	XeII 500l 
4481.810 	1000    good	ArII 200
4483.1958 	1000    good	NeI 150   
4488.0933 	1000    good	NeI 300   
4490.988 	1000    good	Ar II
4491.7700 	1000    good	NeI 80   
4491.836 	1000    good	NeI 50 
4491.856 	1000    good	NeI 50 
4493.6922 	1000    good	NeI 50   
4498.5384	1000    good
4500.1819 	1000    good	NeI 50 
4500.207 	1000    good	NeI 50 
4501.0 		1000    goodXeI    
4502.931 	1000    good	Ar II
4507.8339	1000    good
4509.374	1000    good
4510.733 	1000    good	ArI 100
4514.8826 	1000    good	NeI 70   
4516.927 	1000    good	NeI 50   
4517.7360 	1000    good	NeI 100 
4517.7521 	1000    good	NeI 100 
4521.86 	1000    good	XeII 100l 
4522.323 	1000    good	ArI 20
4522.72 	1000    good	NeII 100              
4524.681 	1000    good	Xe
4526.175 	1000    good	NeI 50   
4530.552 	1000    good	ArII 20
4530.785	1000    good
4535.4903	1000    good
4536.3008 	1000    good	NeI 150   
4537.6426	1000    good
4537.6773 	1000    good	NeI 300   
4537.7515 	1000    good	NeI 1000   
4538.3019 	1000    good	NeI 300   
4539.1647 	1000    good	NeI 50   
4540.3780 	1000    good	NeI 50   
4543.8692	1000    good
4544.494 	1000    good	NeI 50   
4545.045 	1000    good	Ar II
4545.052 	1000    good	ArII 400
4545.080    	1000    good	AII(15)
4547.7589	1000    good
4554.3240 	1000    good	ArI
4561.0128	1000    good
4563.751 	1000    good	Ar II (7)
4564.405 	1000    good	ArII 20
4564.82  	1000    good	Ar I  (4)
4565.8880 	1000    good	NeI 60   
4569.06 	1000    good	NeII 100              
4569.1 		1000    goodXeIII 100  
4570.1 		1000    goodXeIII 100  
4573.5552 	1000    good	NeI 50   
4575.0607 	1000    good	NeI 300   
4579.349 	1000    good	ArII 400
4579.390    	1000    good	AII(17)
4582.0402 	1000    good	NeI 150   
4582.4507 	1000    good	NeI 150   
4582.747 	1000    good	Xe
4589.898 	1000    good	ArII 400
4595.244 	1000    good	NeI 50   
4596.097 	1000    good	Ar I
4598.760 	1000    good	Ar II
4603.0 		1000    goodXeII        
4609.567 	1000    good	ArII 550
4609.9114 	1000    good	NeI 150   
4614.391 	1000    good	NeI 100   
4617.838 	1000    good	NeI 70   
4624.276 	1000    good	Xe
4628.3092 	1000    good	NeI 150   
4628.441 	1000    good	Ar I
4636.1253 	1000    good	NeI 70   
4636.6340 	1000    good	NeI 70   
4636.9721 	1000    good	NeI 50   
4637.232 	1000    good	ArII 35
4640.448 	1000    good	NeI 70   
4641.4   	1000    good	XeIII  100  
4645.4175 	1000    good	NeI 300   
4647.970  	1000    good	ArII
4649.9051 	1000    good	NeI 70   
4651.124	1000    good
4653.710  	1000    good	NeI 50   
4656.3929 	1000    good	NeI 300   
4657.901  	1000    good	ArII 400
4661.1051 	1000    good	NeI 150   
4666.664  	1000    good	NeI 50   
4667.352  	1000    good	NeI 100   
4670.8841 	1000    good	NeI 70   
4671.226 	1000    good	Xe
4673.7   	1000    good	XeIII 30 
4678.2183 	1000    good	NeI 300   
4678.6091 	1000    good	NeI 50   
4679.1351 	1000    good	NeI 150   
4680.3665 	1000    good	NeI 100   
4681.202  	1000    good	NeI 50   
4682.2759	1000    good
4683.57  	1000    good	XeIII 60 
4687.6712 	1000    good	NeI 100   
4702.316 	1000    good	Ar I
4702.5300 	1000    good	NeI 150   
4704.3950 	1000    good	NeI 1500   
4708.8593 	1000    good	NeI 1200   
4710.0669 	1000    good	NeI 1000   
4712.0641 	1000    good	NeI 1500   
4714.3409 	1000    good	NeI 70   
4715.1225 	1000    good	NeI 90   
4715.3453 	1000    good	NeI 1500   
4717.603  	1000    good	NeI 70   
4721.5362 	1000    good	NeI 70   
4721.591  	1000    good	ArII 20
4723.60  	1000    good	XeIII 30 
4723.7981 	1000    good	NeI 70 
4723.811  	1000    good	NeI 70 
4725.1453 	1000    good	NeI 70   
4726.859 	1000    good	Ar II
4726.868  	1000    good	ArII 550
4732.053  	1000    good	ArII 50
4732.0532	1000    good
4732.056 	1000    good	Ar II
4734.152 	1000    good	XeI 600 
4735.905  	1000    good	ArII 300
4749.5732 	1000    good	NeI 300   
4752.7315 	1000    good	NeI 500   
4752.9388 	1000    good	ArI
4754.438  	1000    good	NeI 100   
4757.3   	1000    good	XeIII 100  
4758.7253 	1000    good	NeI 150   
4764.862 	1000    good	Ar II
4764.864  	1000    good	ArII 800
4764.890    	1000    good	AII(15)
4768.675 	1000    good	Ar I
4780.3375 	1000    good	NeI 300   
4788.9255 	1000    good	NeI 1000   
4789.592  	1000    good	NeI 100   
4790.2174 	1000    good	NeI 500   
4792.090 	1000    good	Ar II
4792.619 	1000    good	XeI 150 
4806.017 	1000    good	Ar II
4806.020 	1000    good	ArII 550
4806.0205	1000    good
4806.070    	1000    good	AII(6)
4807.019 	1000    good	Xe
4807.02 	1000    good	XeI 500 
4810.0631 	1000    good	NeI 150   
4810.6369 	1000    good	NeI 100   
4814.3359 	1000    good	NeI 50   
4817.6368 	1000    good	NeI 300   
4818.7763 	1000    good	NeI 150   
4819.9307 	1000    good	NeI 70   
4821.9211 	1000    good	NeI 300   
4823.172  	1000    good	NeI 100   
4823.3511 	1000    good	NeI 50   
4825.5183 	1000    good	NeI 50   
4827.3381 	1000    good	NeI 1000   
4827.5870 	1000    good	NeI 300   
4829.709 	1000    good	Xe
4829.71  	1000    good	XeI 400 
4835.97  	1000    good	Ar I
4836.697 	1000    good	Ar I
4837.3126 	1000    good	NeI 500   
4842.9276 	1000    good	NeI 50   
4843.29  	1000    good	XeI 300 
4843.294 	1000    good	Xe
4844.3   	1000    good	XeII        
4847.809  	1000    good	ArII 150
4847.815 	1000    good	Ar II
4851.499  	1000    good	NeI 60   
4852.6562 	1000    good	NeI 100   
4863.0778 	1000    good	NeI 100   
4865.5029 	1000    good	NeI 100   
4865.911  	1000    good	ArII 50
4865.919 	1000    good	Ar II
4866.4766 	1000    good	NeI 80   
4867.010  	1000    good	NeI 70   
4868.266  	1000    good	NeI 70   
4869.5   	1000    good	XeIII 40 
4876.2611	1000    good
4876.262	1000    good
4876.262 	1000    good	Ar I
4876.5   	1000    good	XeII        
4879.860  	1000    good	Ar II
4879.860 	1000    good	Ar II
4879.863  	1000    good	ArII 800
4879.8635	1000    good
4879.8635	1000    good
4879.8635	1000    good
4879.900    	1000    good	AII(14)
4882.2432	1000    good
4884.9184 	1000    good	NeI 1000   
4885.0898 	1000    good	NeI 100   
4887.947 	1000    good	Ar I
4888.2612	1000    good
4889.033  	1000    good	Ar II
4889.042  	1000    good	ArII 70
4889.0422	1000    good
4892.0892 	1000    good	NeI 500   
4897.9214 	1000    good	NeI 70   
4899.0107 	1000    good	NeI 50   
4902.101  	1000    good	ArII
4904.751  	1000    good	ArII 20
4904.753 	1000    good	Ar II
4914.3146	1000    good
4916.068 	1000    good	Hg
4916.068 	1000    good	Hg
4916.508 	1000    good	Xe
4916.51  	1000    good	XeI 500 
4923.152 	1000    good	Xe
4923.152 	1000    good	XeI 500 
4928.2381 	1000    good	NeI 70   
4930.948  	1000    good	NeI 50   
4933.206  	1000    good	Ar II
4933.209  	1000    good	ArII 35
4939.0427 	1000    good	NeI 100   
4942.915 	1000    good	Ar II
4944.9874 	1000    good	NeI 100   
4955.3911 	1000    good	NeI 150   
4956.750 	1000    good	Ar I
4957.0337 	1000    good	NeI 1000   
4957.1222 	1000    good	NeI 150   
4965.079  	1000    good	ArII 200
4965.55   	1000    good	Ar II
4971.71  	1000    good	XeII 200l 
4972.157 	1000    good	Ar
4972.71  	1000    good	XeII 400 
4973.5519 	1000    good	NeI 100   
4974.7664 	1000    good	NeI 50   
4988.77  	1000    good	XeII 300 
4989.948 	1000    good	Ar I
4991.17  	1000    good	XeII 100l 
4994.9293 	1000    good	NeI 150   
5005.1585 	1000    good	NeI 500   
5005.3384 	1000    good	NeI 50   
5009.334  	1000    good	ArII 50
5010.7314  	1000    good	Ar II
5017.163  	1000    good	ArII 70
5017.629  	1000    good	Ar II (10)
5028.280 	1000    good	Xe
5028.280 	1000    good	XeI 200 
5031.3493 	1000    good	NeI 250   
5037.750    	1000    good	Ne
5037.7510 	1000    good	NeI 500   
5044.92  	1000    good	XeII 200 
5048.813 	1000    good	Ar I
5054.1759 	1000    good	ArI
5054.178 	1000    good	Ar I
5060.079 	1000    good	Ar I
5062.036 	1000    good	Ar II
5062.037  	1000    good	ArII 70
5062.0371	1000    good
5062.0371	1000    good
5073.076 	1000    good	Ar I
