-----------------------------------------------
Spec.  | Wavelength |  Rel. | gk | Aki       
       |   Vacuum   |  Int. |    | (10^8s-1) 
       |    (A)     |       |    |           
-----------------------------------------------
Xe II  |   6099.28  |  1500 | 4  | 2.6e-01   
Xe II  |   6103.12  |   400 | _  |           
Xe II  |   6116.77  |   100 | _  |           
Xe II  |   6148.15  |   100 | _  |           
Xe I   |   6180.01  |   150 | _  |           
       |            |       |    |           
Xe I   |   6181.37  |   120 | _  |           
Xe I   |   6184.13  |   300 | _  |           
Xe II  |   6195.78  |   500 | _  |           
Xe I   |   6199.97  |   100 | _  |           
Xe III |   6207.69  |    60 | _  |           
       |            |       |    |           
Xe II  |   6221.74  |   100 | _  |           
Xe III |   6223.4   |    25 | _  |           
Xe III |   6239.9   |    60 | _  |           
Xe III |   6260.78  |    60 | _  |           
Xe II  |   6272.55  |   500 | 6  | 1.8e-01   
       |            |       |    |           
Xe II  |   6279.28  |   400 | 6  | 3.6e-02   
Xe II  |   6286.15  |   100 | _  |           
Xe I   |   6287.75  |   100 | _  |           
Xe II  |   6302.60  |   250 | _  |           
Xe I   |   6319.81  |   500 | _  |           
       |            |       |    |           
Xe II  |   6345.71  |   400 | _  |           
Xe II  |   6358.11  |   600 | _  |           
Xe II  |   6377.04  |   200 | _  |           
Xe II  |   6399.76  |   100 | _  |           
Xe I   |   6471.49  |   300 | _  |           
       |            |       |    |           
Xe I   |   6474.63  |   150 | _  |           
Xe I   |   6489.55  |   120 | _  |           
Xe I   |   6500.52  |   100 | _  |           
Xe I   |   6505.98  |  200w | _  |           
Xe II  |   6514.63  |   300 | _  |           
       |            |       |    |           
Xe II  |   6530.45  |   200 | _  |           
Xe I   |   6534.96  |   100 | _  |           
Xe II  |   6596.83  |  1000 | _  |           
Xe I   |   6597.38  |   100 | _  |           
Xe II  |   6599.07  |   400 | _  |           
       |            |       |    |           
Xe II  |   6600.66  |   100 | _  |           
Xe I   |   6670.76  |   150 | _  |           
Xe II  |   6696.17  |   300 | _  |           
Xe I   |   6729.87  |   200 | _  |           
Xe II  |   6790.58  |   150 | _  |           
       |            |       |    |           
Xe II  |   6792.24  |   100 | _  |           
Xe II  |   6807.62  |  1000 | 6  | 6.1e-02   
Xe I   |   6829.20  |   200 | _  |           
Xe I   |   6874.01  |   100 | _  |           
Xe I   |   6884.06  |   300 | _  |           
       |            |       |    |           
