-------------------------------------------------------
Spec.   | Wavelength |  Rel. | gk | Aki       | Acc  
        |   Vacuum   |  Int. |    | (10^8s-1) |      
        |    (A)     |       |    |           |      
-------------------------------------------------------
Ar II   |   4073.154 |   200 | 6  | 5.8e-01   | B    
Ar II   |   4073.535 |    70 | _  |           |      
Ar II   |   4077.779 |    25 | 2  | 8e-01     | D    
Ar II   |   4078.094 |       | 2  | 9.9e-01   | D    
Ar II   |   4080.725 |    35 | 4  | 1.19e-01  | B    
        |            |       |    |           |      
Ar II   |   4083.539 |    25 | 6  | 2.9e-02   | B+   
Ar II   |   4104.990 |       | 4  | 1.3e+00   | D    
Ar II   |   4105.070 |   150 | 6  | 1.2e+00   | D    
Ar II   |   4113.975 |       | 4  | 1.1e-02   | B-   
Ar II   |   4129.804 |       | 6  | 1.4e-02   | B    
        |            |       |    |           |      
Ar II   |   4132.889 |   300 | 2  | 8.5e-01   | B    
Ar III  |   4147.87  |     5 | _  |           |      
Ar II   |   4148.551 |       | 2  | 1.8e-04   | E    
Ar II   |   4157.257 |    35 | 4  | 3.9e-01   | D    
Ar I    |   4159.763 |   400 | 5  | 1.40e-02  | C    
        |            |       |    |           |      
Ar I    |   4165.353 |    50 | 3  | 2.88e-03  | C    
Ar II   |   4179.543 |       | 4  | 1.2e-02   | C+   
Ar II   |   4180.475 |    35 | 6  | 1.3e-01   | D    
Ar I    |   4183.062 |    50 | 3  | 5.61e-03  | C    
Ar I    |   4191.894 |   100 | 5  | 2.80e-03  | C    
        |            |       |    |           |      
Ar I    |   4192.210 |    50 | 3  | 5.39e-03  | C    
Ar I    |   4199.500 |   200 | 1  | 2.57e-02  | C    
Ar I    |   4201.858 |   400 | 7  | 9.67e-03  | C    
Ar II   |   4203.155 |       | 4  | 2.1e-02   | C    
Ar II   |   4211.132 |       | 4  | 1.8e-03   | D    
        |            |       |    |           |      
Ar II   |   4219.853 |    25 | 4  | 3.6e-01   | D    
Ar II   |   4223.826 |    25 | 2  | 6.9e-01   | D    
Ar II   |   4228.178 |    25 | 6  | 4.1e-01   | D    
Ar II   |   4229.348 |   100 | 6  | 1.31e-01  | A    
Ar II   |   4238.413 |   100 | 4  | 1.12e-01  | B    
        |            |       |    |           |      
Ar II   |   4244.839 |       | 6  | 2e-03     | C    
Ar I    |   4252.382 |    25 | 3  | 1.11e-03  | C    
Ar II   |   4256.801 |       | 4  | 2.1e-02   | D-   
Ar I    |   4260.561 |   200 | 1  | 3.98e-02  | C    
Ar I    |   4267.487 |   100 | 5  | 3.12e-03  | C    
        |            |       |    |           |      
Ar II   |   4267.727 |    70 | 6  | 1.64e-01  | B    
Ar I    |   4273.371 |   150 | 3  | 7.97e-03  | C    
Ar II   |   4276.363 |       | 4  | 2.6e-01   | D    
Ar II   |   4278.732 |   550 | 4  | 8.0e-01   | B    
Ar II   |   4284.102 |    20 | 2  | 1.32e-01  | B    
        |            |       |    |           |      
Ar I    |   4301.311 |   100 | 5  | 3.77e-03  | C    
Ar II   |   4301.859 |    25 | 6  | 5.7e-02   | B-   
Ar II   |   4310.451 |    70 | _  |           |      
Ar II   |   4332.417 |   200 | 4  | 5.74e-01  | A-   
Ar II   |   4333.248 |    50 | 2  | 1.92e-01  | B+   
        |            |       |    |           |      
Ar I    |   4334.780 |   100 | 5  | 5.68e-03  | C    
Ar I    |   4336.557 |    50 | 3  | 3.87e-03  | C    
Ar II   |   4338.290 |       | 4  | 3.4e-01   | D    
Ar I    |   4346.389 |    25 | 3  | 2.97e-03  | C    
Ar II   |   4349.286 |   800 | 8  | 1.171e+0  | A    
        |            |       |    |           |      
Ar II   |   4353.428 |    50 | 2  | 2.12e-01  | B    
Ar II   |   4359.716 |       | 4  | 1.8e-03   | D    
Ar II   |   4363.292 |    25 | 6  | 5.5e-02   | B    
Ar I    |   4365.021 |       | 3  | 1.2e-04   | D    
Ar II   |   4369.059 |    50 | _  |           |      
        |            |       |    |           |      
Ar II   |   4371.981 |   200 | 4  | 6.6e-01   | B    
Ar II   |   4372.557 |    70 | 4  | 2.21e-01  | B    
Ar II   |   4377.184 |    50 | 2  | 2.05e-01  | B-   
Ar II   |   4380.897 |   150 | 2  | 1.004e+0  | A    
Ar II   |   4384.985 |       | 4  | 1.1e-02   | B-   
        |            |       |    |           |      
Ar II   |   4386.289 |    50 | _  |           |      
Ar II   |   4395.854 |       | 6  | 6e-03     | C    
Ar II   |   4401.332 |    70 | 4  | 1.60e-01  | B    
Ar II   |   4402.222 |   200 | 6  | 3.04e-01  | B    
Ar XIV  |   4413.5   |       | 4  | 1.04e-06  | A    
        |            |       |    |           |      
Ar II   |   4414.143 |       | 8  | 6.1e-02   | B    
Ar II   |   4422.153 |       | 4  | 3.1e-02   | B    
Ar I    |   4425.237 |       | 3  | 7.3e-05   | D    
Ar II   |   4427.244 |   400 | 6  | 8.17e-01  | A-   
Ar II   |   4431.432 |   150 | 4  | 5.69e-01  | A    
        |            |       |    |           |      
Ar II   |   4432.240 |    50 | 6  | 1.09e-01  | B    
Ar II   |   4435.083 |    50 | _  |           |      
Ar II   |   4440.707 |    20 | _  |           |      
Ar II   |   4450.128 |    35 | 6  | 6.5e-01   | D    
Ar II   |   4461.809 |       | 6  | 1.5e-02   | B+   
        |            |       |    |           |      
Ar II   |   4476.015 |   100 | 2  | 2.90e-01  | B    
Ar II   |   4483.068 |   200 | 6  | 4.55e-01  | B    
Ar II   |   4492.241 |       | 4  | 4.6e-02   | B    
Ar I    |   4511.999 |   100 | 1  | 1.18e-02  | C    
Ar I    |   4523.592 |    20 | 3  | 8.98e-04  | C    
        |            |       |    |           |      
Ar II   |   4531.822 |    20 | 4  | 2.1e-02   | B    
Ar II   |   4536.762 |       | 4  | 7.4e-02   | D-   
Ar I    |   4546.021 |       | 3  | 8.3e-04   | E    
Ar II   |   4546.326 |   400 | 4  | 4.71e-01  | B-   
Ar II   |   4549.033 |       | 4  | 7.7e-02   | D-   
        |            |       |    |           |      
Ar I    |   4555.601 |       | 5  | 3.8e-04   | E    
Ar II   |   4565.685 |    20 | 2  | 2.9e-01   | D    
Ar II   |   4580.633 |   400 | 2  | 8.0e-01   | B    
Ar I    |   4586.241 |       | 5  | 1.6e-03   | E    
Ar I    |   4587.897 |       | 3  | 2.3e-03   | E    
        |            |       |    |           |      
Ar I    |   4588.494 |       | 1  | 4.9e-03   | E    
Ar II   |   4589.176 |       | 4  | 3e-03     | C    
Ar I    |   4590.575 |       | 5  | 6.2e-05   | D    
Ar II   |   4591.184 |   400 | 6  | 6.64e-01  | A    
Ar I    |   4597.384 |    15 | 3  | 9.47e-04  | C    
        |            |       |    |           |      
Ar II   |   4600.051 |       | 4  | 6.7e-02   | B    
Ar II   |   4610.858 |   550 | 8  | 7.89e-01  | A    
Ar V    |   4626.82  |       | 1  | 3.8e-08   | D    
Ar I    |   4629.737 |     7 | 5  | 3.83e-04  | C-   
Ar II   |   4638.531 |    35 | 6  | 7.1e-02   | A    
        |            |       |    |           |      
Ar I    |   4643.437 |       | 5  | 9.6e-04   | E    
Ar I    |   4648.791 |       | 3  | 1.2e-03   | E    
Ar II   |   4659.205 |   400 | 2  | 8.92e-01  | B    
Ar II   |   4683.586 |       | 8  | 8e-03     | C+   
Ar I    |   4703.632 |    15 | 3  | 1.09e-03  | C    
        |            |       |    |           |      
Ar II   |   4712.142 |       | 6  | 5e-03     | C+   
Ar IV   |   4712.69  |       | 6  | 1.60e-11  | C    
Ar IV   |   4712.69  |       | 6  | 8.0e-11   | D    
Ar II   |   4722.912 |    20 | 4  | 1.5e-01   | D    
Ar II   |   4728.190 |   550 | 4  | 5.88e-01  | A    
        |            |       |    |           |      
Ar II   |   4733.377 |    50 | 4  | 6.7e-02   | B-   
Ar II   |   4737.230 |   300 | 4  | 5.80e-01  | A    
Ar IV   |   4741.49  |       | 4  | 7.2e-10   | C    
Ar IV   |   4741.49  |       | 4  | 5.1e-11   | D    
Ar I    |   4748.148 |       | 1  | 3.6e-03   | E    
        |            |       |    |           |      
Ar I    |   4754.268 |       | 3  | 4.5e-03   | E    
Ar II   |   4766.197 |   800 | 4  | 6.4e-01   | B    
Ar I    |   4770.006 |       | 5  | 8.6e-03   | D    
Ar I    |   4800.084 |       | 9  | 8.8e-04   | E    
Ar II   |   4807.363 |   550 | 6  | 7.80e-01  | A    
        |            |       |    |           |      
Ar I    |   4837.321 |       | 9  | 9.3e-04   | E    
Ar I    |   4838.049 |       | 5  | 1.02e-03  | C    
Ar II   |   4849.164 |   150 | 2  | 8.49e-01  | B    
Ar II   |   4867.270 |    50 | 6  | 1.5e-01   | D    
Ar I    |   4877.623 |       | 5  | 7.8e-03   | D    
        |            |       |    |           |      
Ar II   |   4881.226 |   800 | 6  | 8.23e-01  | A    
Ar I    |   4887.655 |       | 9  | 1.2e-03   | E    
Ar I    |   4889.312 |       | 3  | 1.3e-02   | D    
Ar II   |   4890.407 |    70 | 2  | 1.9e-01   | C    
Ar I    |   4896.058 |       | 1  | 1.8e-02   | D    
        |            |       |    |           |      
