------------------------------------------------
Spec.  | Wavelength |   Rel. | gk | Aki       
       |   Vacuum   |   Int. |    | (10^8s-1) 
       |    (A)     |        |    |           
------------------------------------------------
Kr I   |   8135.203 |     60 | _  |           
       |            |        |    |           
Kr I   |   8192.306 |   3000 | 5  | 1.1e-01   
Kr II  |   8204.98  |    200 | _  |           
Kr I   |   8220.624 |     80 | _  |           
Kr I   |   8265.511 |   3000 | 5  | 3.5e-01   
Kr I   |   8274.627 |    100 | _  |           
       |            |        |    |           
Kr I   |   8283.326 |   1500 | 3  | 1.9e-01   
Kr I   |   8300.388 |   5000 | 3  | 3.2e-01   
Kr I   |   8414.742 |    100 | _  |           
Kr I   |   8511.208 |   3000 | 3  | 2.4e-01   
Kr I   |   8766.517 |    150 | _  |           
       |            |        |    |           
Kr I   |   8779.158 |   6000 | 5  | 2.7e-01   
Kr I   |   8931.143 |   2000 | 3  | 3.7e-01   
Kr II  |   9241.02  |    500 | _  |           
Kr II  |   9296.37  | 500w,l | _  |           
Kr II  |   9323.55  |   200w | _  |           
       |            |        |    |           
Kr II  |   9364.52  |    300 | _  |           
Kr I   |   9364.651 |    100 | _  |           
Kr II  |   9405.40  |   200w | _  |           
Kr II  |   9473.53  |   200w | _  |           
Kr II  |   9580.15  |    500 | _  |           
       |            |        |    |           
Kr II  |   9608.43  |   500w | _  |           
Kr II  |   9622.25  |   400w | _  |           
Kr II  |   9665.99  |    200 | _  |           
Kr II  |   9714.26  |   200w | _  |           
Kr I   |   9754.432 |   2000 | _  |           
       |            |        |    |           
Kr II  |   9805.83  |    500 | _  |           
Kr I   |   9859.017 |    500 | _  |           
Kr II  |  10224.26  |   1000 | _  |           
------------------------------------------------
