-------------------------------------------------------
Spec.   | Wavelength |  Rel. | gk | Aki       | Acc  
        |   Vacuum   |  Int. |    | (10^8s-1) |      
        |    (A)     |       |    |           |      
-------------------------------------------------------
Ne I    |  6402.8457 |   100 | 3  | 1.39e-02  | B    
Ne I    |  6404.0157 |  2000 | 7  | 5.14e-02  | B    
Ne I    |  6411.5219 |   150 | 3  |           |      
        |            |       |    |           |      
Ne I    |  6423.4819 |   100 | 1  |           |      
Ne I    |  6446.4916 |   150 | 5  |           |      
Ne I    |  6508.3259 |   100 | 5  | 3.00e-01  | B-   
Ne I    |  6534.6870 |   100 | 3  | 1.08e-01  | B-   
Ne I    |  6600.7755 |  1000 | 3  | 2.32e-01  | B-   
        |            |       |    |           |      
Ne I    |  6604.7274 |   100 | 3  |           |      
Ne I    |  6641.8425 |    10 | 5  |           |      
Ne I    |  6653.9295 |   150 | 1  | 2.9e-03   | B    
Ne I    |  6668.7334 |   100 | 3  |           |      
Ne I    |  6680.1202 |   500 | 5  | 2.33e-01  | C+   
        |            |       |    |           |      
Ne I    |  6718.8974 |    70 | 3  | 2.17e-01  | B-   
Ne I    |  6722.992  |     2 | 3  | 4.9e-04   | D    
Ne I    |  6739.895  |    70 | 3  |           |      
Ne I    |  6761.452  |    15 | 5  |           |      
Ne I    |  6931.3788 |  1000 | 5  | 1.74e-01  | B-   
        |            |       |    |           |      
Ne I    |  7025.9874 |   500 | 3  | 1.89e-02  | B    
Ne I    |  7034.3524 |  1000 | 3  | 2.53e-01  | B-   
Ne I    |  7053.2366 |    70 | 3  | 3.0e-02   | D    
Ne I    |  7061.0538 |   200 | 5  | 6.8e-02   | C    
Ne I    |  7114.2714 |    10 | 3  |           |      
        |            |       |    |           |      
Ne I    |  7175.9155 |  1000 | 5  | 2.87e-02  | B-   
Ne II   |  7215.19   |   150 | _  |           |      
Ne II   |  7237.18   |   150 | _  |           |      
Ne I    |  7247.1631 |  1000 | 3  | 9.35e-02  | B-   
Ne I    |  7306.857  |    30 | 3  | 2.55e-03  | B    
        |            |       |    |           |      
Ne II   |  7345.96   |   150 | _  |           |      
Ne I    |  7440.9472 |   300 | 3  | 2.31e-02  | B-   
Ne I    |  7474.4964 |    50 | 3  | 4.0e-02   | D    
Ne I    |  7490.9335 |   500 | 5  | 3.49e-01  | C    
Ne II   |  7494.16   |   100 | _  |           |      
        |            |       |    |           |      
Ne II   |  7524.89   |   150 | _  |           |      
Ne I    |  7537.8490 |   300 | 3  | 4.3e-01   | D    
Ne I    |  7546.1215 |   100 | 1  |           |      
Ne I    |  7726.7540 |    10 | 3  |           |      
Ne II   |  7742.87   |   120 | _  |           |      
        |            |       |    |           |      
Ne I    |  7835.1855 |     7 | 5  |           |      
Ne I    |  7841.2114 |    30 | 7  |           |      
Ne I    |  7842.1464 |     1 | 5  |           |      
Ne IX   |  7924      |       | 5  | 1.16e-02  | A'   
Ne II   |  7928.38   |   120 | _  |           |      
        |            |       |    |           |      
Ne I    |  7929.2983 |    40 | 3  |           |      
Ne IX   |  7937      |       | 3  | 8.61e-03  | A'   
Ne I    |  7939.1793 |    70 | 5  | 7.8e-03   | C    
Ne I    |  7945.3663 |   200 | 7  |           |      
Ne I    |  7946.3263 |    20 | 5  |           |      
        |            |       |    |           |      
Ne VIII |  7977      |       | 4  | 1.78e-02  | B'   
Ne IX   |  8000      |       | 3  | 6.46e-03  | A'   
Ne I    |  8026.26   |     2 | 5  |           |      
Ne I    |  8043.97   |     2 | 7  |           |      
Ne I    |  8078.29   |     1 | 1  |           |      
        |            |       |    |           |      
Ne I    |  8084.6806 |   200 | 3  | 1.2e-03   | B    
Ne II   |  8086.56   |   100 | _  |           |      
Ne I    |  8095.34   |     2 | 1  |           |      
Ne I    |  8120.7815 |   100 | 3  | 4.9e-02   | D    
Ne I    |  8131.1459 |    60 | 5  | 7.2e-03   | C    
        |            |       |    |           |      
Ne I    |  8138.6428 |   300 | 5  |           |      
Ne IX   |  8177      |       | 7  | 1.55e-02  | A'   
Ne VIII |  8198      |       | 6  | 2.14e-02  | B'   
Ne IX   |  8224      |       | 5  | 3.87e-03  | A'   
Ne I    |  8250.9498 |    30 | 3  |           |      
        |            |       |    |           |      
Ne I    |  8261.6493 |   150 | 5  | 2.03e-02  | C    
Ne II   |  8267.08   |   100 | _  |           |      
Ne I    |  8268.3493 |   200 | 7  |           |      
Ne I    |  8269.3890 |    80 | 5  |           |      
Ne VIII |  8300      |       | 4  | 3.6e-03   | B'   
        |            |       |    |           |      
Ne I    |  8302.6077 |   600 | 7  |           |      
Ne I    |  8303.8414 |   150 | 5  |           |      
Ne IX   |  8306      |       | 3  | 4.31e-04  | A'   
Ne II   |  8317.29   |   100 | _  |           |      
Ne I    |  8368.0476 |   150 | 5  |           |      
        |            |       |    |           |      
Ne II   |  8374.41   |   100 | _  |           |      
Ne I    |  8378.6634 |   200 | 7  |           |      
Ne I    |  8379.9088 |   800 | 9  | 5.1e-01   | C    
Ne I    |  8419.4721 |   100 | 7  |           |      
Ne I    |  8420.7408 |   400 | 5  |           |      
        |            |       |    |           |      
Ne I    |  8465.6830 |   150 | 3  |           |      
Ne I    |  8486.7746 |    80 | 5  |           |      
Ne I    |  8497.6940 |   500 | 7  | 3.57e-01  | C    
Ne I    |  8547.0433 |    60 | 3  |           |      
Ne I    |  8573.7071 |   100 | 3  | 5.5e-02   | D    
        |            |       |    |           |      
Ne I    |  8585.2607 |    60 | 5  | 1.00e-02  | C    
Ne I    |  8593.6188 |   400 | 5  |           |      
Ne I    |  8637.0188 |   600 | 5  |           |      
Ne I    |  8637.6894 |    50 | 3  |           |      
Ne I    |  8649.4162 |   300 | 5  | 3.91e-02  | C    
        |            |       |    |           |      
Ne I    |  8656.7602 |  1500 | 7  | 4.45e-01  | C    
Ne I    |  8657.8998 |   400 | 5  |           |      
Ne II   |  8670.64   |   100 | _  |           |      
Ne I    |  8681.8765 |   500 | 3  |           |      
Ne I    |  8684.3057 |   500 | 3  | 2.1e-01   | D    
        |            |       |    |           |      
Ne I    |  8706.5022 |   200 | 5  |           |      
Ne I    |  8769.9437 |    15 | 3  | 1.1e-03   | D    
Ne I    |  8774.0652 |   400 | 3  | 1.6e-01   | D    
Ne I    |  8781.1436 |   150 | 1  |           |      
Ne I    |  8783.0323 |  1200 | 7  |           |      
        |            |       |    |           |      
Ne I    |  8784.4129 |    50 | 5  |           |      
Ne I    |  8786.1654 |  1000 | 5  | 3.13e-01  | C    
Ne I    |  8794.9195 |    30 | 5  |           |      
Ne I    |  8833.3321 |    50 | 3  |           |      
Ne I    |  8856.2979 |   700 | 5  |           |      
        |            |       |    |           |      
Ne I    |  8867.7405 |   100 | 3  | 9.4e-03   | D    
Ne I    |  8868.1895 |   500 | 7  |           |      
Ne I    |  8894.66   |    10 | 5  |           |      
Ne I    |  8898.12   |     2 | 3  |           |      
Ne I    |  8917.81   |     3 | 5  |           |      
        |            |       |    |           |      
Ne I    |  8921.9495 |   300 | 3  |           |      
Ne I    |  8929.85   |     2 | 3  |           |      
Ne I    |  8931.70   |    10 | 7  |           |      
Ne I    |  8943.95   |     6 | 1  |           |      
Ne I    |  8964.79   |     3 | 1  |           |      
        |            |       |    |           |      
Ne I    |  8971.00   |     2 | 3  |           |      
Ne I    |  8991.0240 |   200 | 1  |           |      
Ne I    |  9039.49   |     6 | 5  |           |      
Ne I    |  9049.3    |     1 | 5  |           |      
Ne I    |  9051.55   |     3 | 5  |           |      
        |            |       |    |           |      
Ne I    |  9054.88   |    6* | 3  |           |      
Ne I    |  9055.14   |    6* | 3  |           |      
Ne I    |  9075.53   |     8 | 5  |           |      
Ne II   |  9081.95   |   100 | _  |           |      
Ne I    |  9104.56   |     1 | _  |           |      
        |            |       |    |           |      
Ne I    |  9106.03   |     3 | 9  |           |      
Ne I    |  9151.1825 |   600 | 5  |           |      
Ne I    |  9204.2844 |   600 | 3  | 9.1e-02   | D    
Ne I    |  9222.5885 |   400 | 7  |           |      
Ne I    |  9224.1108 |   200 | 5  |           |      
        |            |       |    |           |      
Ne I    |  9229.2223 |   200 | 5  |           |      
Ne I    |  9278.0649 |   100 | 3  |           |      
Ne II   |  9290.11   |   200 | _  |           |      
Ne I    |  9303.4048 |   600 | 5  |           |      
Ne I    |  9313.1386 |   150 | 1  |           |      
        |            |       |    |           |      
Ne I    |  9316.5282 |   300 | 7  |           |      
Ne I    |  9329.0659 |   600 | 3  |           |      
Ne I    |  9343.11   |     2 | 3  |           |      
Ne I    |  9355.82   |     3 | _  |           |      
Ne I    |  9375.8796 |   200 | 3  |           |      
        |            |       |    |           |      
Ne I    |  9413.33   |     6 | _  |           |      
Ne I    |  9414.90   |     4 | 9  |           |      
Ne I    |  9427.9647 |   500 | 3  |           |      
Ne I    |  9435.5956 |    40 | 3  | 1.1e-03   | D    
Ne I    |  9446.45   |    2* | _  |           |      
        |            |       |    |           |      
Ne I    |  9446.45   |    2* | 7  |           |      
Ne I    |  9447.81   |    3* | _  |           |      
Ne I    |  9447.81   |    3* | _  |           |      
Ne I    |  9456.57   |    1* | _  |           |      
Ne I    |  9456.57   |    1* | 7  |           |      
        |            |       |    |           |      
Ne I    |  9461.8045 |   300 | 5  |           |      
Ne I    |  9489.2843 |   500 | 3  | 2.5e-02   | D    
Ne I    |  9510.88   |     5 | _  |           |      
Ne I    |  9536.7782 |   500 | 3  | 6.3e-02   | D    
Ne I    |  9550.0238 |   300 | 1  |           |      
        |            |       |    |           |      
Ne I    |  9576.60   |     2 | 1  |           |      
Ne II   |  9579.64   |   120 | _  |           |      
Ne I    |  9644.92   |     1 | 3  |           |      
Ne I    |  9668.0706 |  1000 | 5  |           |      
Ne I    |  9727.62   |     1 | 5  |           |      
        |            |       |    |           |      
Ne I    |  9790.93   |     2 | 3  |           |      
Ne II   |  9811.55   |   100 | _  |           |      
Ne I    |  9826.09   |     5 | 3  |           |      
Ne I    |  9840.15   |    20 | _  |           |      
Ne I    |  9900.00   |     3 | _  |           |      
        |            |       |    |           |      
Ne I    |  9901.74   |     2 | _  |           |      
Ne I    |  9917.83   |    20 | _  |           |      
Ne I    |  9921.27   |     4 | _  |           |      
Ne I    |  9939.52   |   10* | _  |           |      
Ne I    |  9939.52   |   10* | 7  |           |      
        |            |       |    |           |      
Ne I    |  9941.02   |   15* | _  |           |      
Ne I    |  9941.02   |   15* | _  |           |      
Ne I    |  9946.79   |     7 | 5  |           |      
Ne I    |  9947.84   |     2 | _  |           |      
Ne I    |  9950.73   |   15* | _  |           |      
        |            |       |    |           |      
Ne I    |  9950.73   |   15* | 7  |           |      
Ne I    |  9966.29   |     6 | 5  |           |      
Ne I    | 10008.31   |    20 | 7  |           |      
Ne I    | 10010.10   |    30 | _  |           |      
Ne I    | 10011.35   |     4 | _  |           |      
        |            |       |    |           |      
Ne I    | 10039.90   |     2 | 7  |           |      
Ne I    | 10041.70   |     2 | _  |           |      
Ne I    | 10213.60   |     2 | 1  |           |      
Ne I    | 10227.43   |     2 | 5  |           |      
Ne I    | 10248.5156 |     7 | 3  |           |      
        |            |       |    |           |      
Ne I    | 10298.2390 |    80 | 3  |           |      
Ne I    | 10435.42   |     3 | 5  |           |      
Ne I    | 10565.3015 |   200 | 3  |           |      
Ne I    | 10623.5747 |    40 | 3  | 2.4e-03   | D    
Ne I    | 10676.77   |     2 | 3  |           |      
        |            |       |    |           |      
Ne I    | 10693.37   |     6 | _  |           |      
Ne I    | 10761.23   |     2 | _  |           |      
Ne I    | 10763.29   |     1 | _  |           |      
Ne I    | 10783.53   |     6 | _  |           |      
Ne I    | 10801.0008 |   150 | 1  |           |      
        |            |       |    |           |      
Ne I    | 10809.33   |     5 | 7  |           |      
Ne I    | 10811.11   |     7 | _  |           |      
Ne I    | 10817.78   |     4 | 5  |           |      
Ne I    | 10822.85   |     5 | _  |           |      
Ne I    | 10847.4477 |   200 | 3  |           |      
        |            |       |    |           |      
Ne I    | 10889.33   |     5 | 7  |           |      
Ne I    | 10891.46   |     8 | _  |           |      
-------------------------------------------------------
