-------------------------------------------------------
Spec.   | Wavelength |  Rel. | gk | Aki       | Acc  
        |   Vacuum   |  Int. |    | (10^8s-1) |      
        |    (A)     |       |    |           |      
-------------------------------------------------------
Ne I    |  3370.8758 |  1500 | 3  |           |      
Ne II   |  3372.765  |   100 | 6  | 2.2e-01   | D    
Ne II   |  3375.031  |       | 4  | 3.0e-01   | D    
Ne I    |  3376.6185 |    53 | 3  |           |      
        |            |       |    |           |      
Ne II   |  3379.187  |   500 | 2  | 1.7e+00   | D    
Ne II   |  3380.290  |       | 2  | 3.0e-01   | D    
Ne II   |  3387.175  |       | 6  | 5.5e-02   | D-   
Ne II   |  3389.392  |   150 | 6  | 2.2e+00   | D    
Ne II   |  3389.91   |   120 | _  |           |      
        |            |       |    |           |      
Ne II   |  3391.525  |       | 4  | 7.7e-02   | D    
Ne II   |  3393.580  |       | 4  | 1.4e-01   | D    
Ne II   |  3393.772  |   300 | 4  | 4.4e-01   | D    
Ne II   |  3394.157  |       | 4  | 2.2e-02   | D    
Ne II   |  3398.473  |       | 4  | 4.9e-02   | D    
        |            |       |    |           |      
Ne II   |  3405.799  |   100 | 6  | 1.9e+00   | D    
Ne II   |  3407.924  |   120 | 8  | 2.3e+00   | D    
Ne II   |  3412.338  |       | 2  | 6.1e-01   | D    
Ne II   |  3414.124  |   100 | 4  | 1.8e+00   | D    
Ne II   |  3415.868  |       | 6  | 1.8e-02   | D-   
        |            |       |    |           |      
Ne II   |  3417.894  |   120 | 6  | 6.4e-01   | D    
Ne II   |  3418.669  |   120 | 8  | 1.6e+00   | D    
Ne I    |  3418.8839 |  3200 | 5  |           |      
Ne I    |  3418.9865 |   350 | 3  |           |      
Ne I    |  3424.8944 |   150 | 3  |           |      
        |            |       |    |           |      
Ne V    |  3426.84   |       | 5  | 3.82e-09  | C    
Ne V    |  3426.84   |       | 5  | 3.9e-12   | D    
Ne II   |  3429.67   |   120 | _  |           |      
Ne II   |  3439.919  |       | 2  | 1.4e+00   | D    
Ne II   |  3441.734  |       | 4  | 3.5e-01   | D    
        |            |       |    |           |      
Ne I    |  3448.6908 |  6600 | 5  |           |      
Ne I    |  3451.7537 |   970 | 3  |           |      
