# This standard spectrum was made by Joe Hennawi by combining the
# Massey P., Strobel K., Barnes J.V., Anderson E. Astrophys. J. 328, 315 (1988)
# measurements with the Hamuy standards on the ESO webpage, i.e. 
# (Hamuy et al., PASP, 104, 533, 1992); 
#the second to wavelengths from 6000 to 10500A (Hamuy et al., PASP, 
# 106, 566, 1994). 
#http://www.eso.org/sci/observing/tools/standards/spectra/hamuystandards.html
# Note that the Massey data were presented in the Hayes-Latham system 
# system which I converted assuming they were AB mags. This probably 
# results in a small shift, but it matches on very well to the Hamuy data. 
#      LAM            FLAM (1d-16)
      3898.88       4208.6268
      3900.96       4390.1240
      3903.05       4516.6177
      3905.13       4612.6484
      3907.21       4693.3976
      3909.29       4701.3748
      3911.37       4623.4103
      3913.45       4567.7330
      3915.53       4546.0964
      3917.62       4553.8331
      3919.70       4540.6271
      3921.78       4473.5740
      3923.86       4411.5759
      3925.94       4386.6512
      3928.02       4402.2306
      3930.10       4434.1728
      3932.18       4437.6466
      3934.27       4420.7229
      3936.35       4399.8073
      3938.43       4415.4458
      3940.51       4463.9140
      3942.59       4496.3188
      3944.67       4499.8561
      3946.75       4462.1105
      3948.84       4392.2038
      3950.92       4327.3795
      3953.00       4291.0878
      3955.08       4294.4756
      3957.16       4270.2477
      3959.24       4145.6848
      3961.32       3998.8963
      3963.41       3839.5810
      3965.49       3629.3394
      3967.57       3402.2931
      3969.65       3230.8477
      3971.73       3171.4741
      3973.81       3230.0261
      3975.89       3447.8712
      3977.97       3717.8901
      3980.06       3968.6465
      3982.14       4151.3403
      3984.22       4231.8887
      3986.30       4286.2821
      3988.38       4349.3809
      3990.46       4409.3459
      3992.54       4421.0064
      3994.63       4408.2733
      3996.71       4411.8021
      3998.79       4423.4758
      4000.87       4414.8088
      4002.95       4377.8414
      4005.03       4301.3879
      4007.11       4218.4913
      4009.20       4160.1229
      4011.28       4144.3426
      4013.36       4201.5061
      4015.44       4267.3128
      4017.52       4314.2428
      4019.60       4333.6570
      4021.68       4301.3509
      4023.76       4191.3670
      4025.85       4043.0255
      4027.93       3961.4811
      4030.01       4045.8388
      4032.09       4193.3398
      4034.17       4306.3773
      4036.25       4341.7397
      4038.33       4337.2652
      4040.42       4336.7918
      4042.50       4360.3490
      4044.58       4408.3323
      4046.66       4460.9510
      4048.74       4456.3658
      4050.82       4447.6875
      4052.90       4439.0287
      4054.99       4442.6519
      4057.07       4446.2769
      4059.15       4437.6279
      4061.23       4416.7792
      4063.31       4383.9003
      4065.39       4339.2612
      4067.47       4291.1269
      4069.55       4251.3524
      4071.64       4219.7132
      4073.72       4176.7546
      4075.80       4141.8576
      4077.88       4122.4159
      4079.96       4110.6326
      4082.04       4110.2236
      4084.12       4090.9373
      4086.21       4064.2500
      4088.29       4037.7360
      4090.37       4015.0946
      4092.45       3955.9807
      4094.53       3809.0102
      4096.61       3590.6320
      4098.69       3366.1196
      4100.78       3176.0611
      4102.86       3066.5346
      4104.94       3080.4030
      4107.02       3210.4581
      4109.10       3433.4217
      4111.18       3654.9999
      4113.26       3826.9048
      4115.34       3930.1408
      4117.43       3969.8024
      4119.51       3969.4487
      4121.59       3980.0755
      4123.67       4016.5481
      4125.75       4053.3546
      4127.83       4075.4586
      4129.91       4093.9123
      4132.00       4116.2414
      4134.08       4127.2774
      4136.16       4119.3281
      4138.24       4058.7213
      4140.32       3973.3122
      4142.40       3889.6997
      4144.48       3853.7171
      4146.57       3864.0575
      4148.65       3924.7137
      4150.73       4004.7201
      4152.81       4063.8426
