# This standard spectrum was made by Joe Hennawi by combining the
# http://www.ing.iac.es/Astronomy/observing/manuals/html_manuals/tech_notes/tn065-100/w1346a.oke spectrum which extends to 10640
# with the higher resolution spectrum on NAOJ website
# http://www.naoj.org/Observing/Instruments/FOCAS/Detail/UsersGuide/Observing/StandardStar/Spec/PLOTDATA/data/wolf1346.dat
# both of these files were in AB magnitudes. 
#      LAM            FLAM (1d-16)
      4044.25       2096.7381
      4046.34       2069.6500
      4048.42       2075.1539
      4050.50       2069.2042
      4052.58       2072.7983
      4054.66       2042.2585
      4056.75       1982.7369
      4058.83       1948.1354
      4060.91       1960.5316
      4062.99       1958.5224
      4065.08       1943.9430
      4067.16       1890.7697
      4069.24       1813.8200
      4071.32       1748.0328
      4073.40       1709.6434
      4075.49       1703.1841
      4077.57       1682.7434
      4079.65       1647.3074
      4081.73       1593.4247
      4083.82       1546.9936
      4085.90       1493.6384
      4087.98       1450.1176
      4090.06       1420.8905
      4092.15       1379.4908
      4094.23       1294.4243
      4096.31       1213.4874
      4098.39       1164.1088
      4100.47       1155.4534
      4102.56       1178.9944
      4104.64       1194.1827
      4106.72       1208.4542
      4108.80       1239.9096
      4110.89       1304.2168
      4112.97       1360.5358
      4115.05       1408.8687
      4117.13       1456.2336
      4119.21       1501.0390
      4121.30       1550.0752
      4123.38       1608.1039
      4125.46       1669.8427
      4127.54       1700.7376
      4129.63       1741.8042
      4131.71       1772.3982
      4133.79       1798.5550
      4135.87       1821.7404
      4137.96       1853.7410
      4140.04       1839.9758
      4142.12       1804.5773
      4144.20       1797.7898
      4146.28       1854.8232
      4148.37       1922.5004
      4150.45       1958.0803
      4152.53       1961.5300
      4154.61       1929.1206
      4156.70       1893.7568
      4158.78       1895.3484
      4160.86       1932.2107
      4162.94       1957.1313
      4165.02       1978.7253
      4167.11       2007.9431
      4169.19       2039.4703
      4171.27       2048.7258
      4173.35       2054.2357
      4175.44       2052.1871
      4177.52       2046.3692
      4179.60       2063.2469
      4181.68       2074.5247
      4183.77       2082.0264
      4185.85       2070.3990
      4187.93       2053.1554
      4190.01       2034.1839
      4192.09       2045.3075
      4194.18       2048.9315
      4196.26       2052.5623
      4198.34       2056.1993
      4200.42       2067.4474
      4202.51       2059.7016
      4204.59       2036.9189
      4206.67       2021.8259
      4208.75       2025.4147
      4210.83       2021.5489
      4212.92       2008.4218
      4215.00       2026.8690
      4217.08       2043.6039
      4219.16       2034.0802
      4221.25       2007.8872
      4223.33       1994.8542
      4225.41       2016.8932
      4227.49       2031.6778
      4229.58       2037.1702
      4231.66       2022.0872
      4233.74       1997.8946
      4235.82       1990.4228
      4237.90       1999.4854
      4239.99       2008.5924
      4242.07       1993.7257
      4244.15       1950.0207
      4246.23       1923.1503
      4248.32       1930.1320
      4250.40       1949.6717
      4252.48       1910.4516
      4254.56       1875.4731
      4256.64       1863.3137
      4258.73       1871.8069
      4260.81       1866.5364
      4262.89       1862.9980
      4264.97       1852.6275
      4267.06       1832.1622
      4269.14       1805.2626
      4271.22       1801.8420
      4273.30       1816.7426
      4275.38       1835.1449
      4277.47       1840.1247
      4279.55       1813.1128
      4281.63       1783.2086
      4283.71       1770.0271
      4285.80       1784.6681
      4287.88       1773.1103
      4289.96       1747.0845
      4292.04       1727.7965
      4294.13       1713.4485
      4296.21       1674.3657
      4298.29       1636.1734
      4300.37       1609.1949
      4302.45       1587.0409
      4304.54       1550.8430
      4306.62       1512.6823
      4308.70       1479.5444
      4310.78       1451.1360
      4312.87       1433.8003
      4314.95       1414.0650
      4317.03       1398.4615
      4319.11       1372.8768
      4321.19       1315.8699
      4323.28       1246.2197
      4325.36       1193.3730
      4327.44       1154.4049
      4329.52       1115.6816
      4331.61       1064.4442
      4333.69       1012.7571
      4335.77       969.81345
      4337.85       950.32221
      4339.94       960.84706
      4342.02       974.17616
      4344.10       983.15329
      4346.18       1001.3940
      4348.26       1049.5159
      4350.35       1098.9375
      4352.43       1147.5125
      4354.51       1192.7289
      4356.59       1244.3041
      4358.68       1282.6601
      4360.76       1323.4170
      4362.84       1366.7280
      4364.92       1394.6576
      4367.00       1395.8965
      4369.09       1406.1743
      4371.17       1434.9129
      4373.25       1468.2903
      4375.33       1495.5411
      4377.42       1516.2998
      4379.50       1530.2831
      4381.58       1538.7177
      4383.66       1578.8699
      4385.75       1608.1771
      4387.83       1626.0043
      4389.91       1631.9608
      4391.99       1643.9843
      4394.07       1634.8804
      4396.16       1631.8276
      4398.24       1637.8082
      4400.32       1654.4433
      4402.40       1672.7893
      4404.49       1686.6701
      4406.57       1689.7395
      4408.65       1685.0369
      4410.73       1689.6596
      4412.81       1703.6849
      4414.90       1719.4099
      4416.98       1717.7890
      4419.06       1730.4555
      4421.14       1733.6096
      4423.23       1725.6094
      4425.31       1711.3288
      4427.39       1731.9082
      4429.47       1749.5101
      4431.56       1754.3188
      4433.64       1738.2016
      4435.72       1712.7445
      4437.80       1695.4494
      4439.88       1690.7425
      4441.97       1700.0830
      4444.05       1706.3305
      4446.13       1703.1624
      4448.21       1696.8729
      4450.30       1692.1654
      4452.38       1687.4721
      4454.46       1699.9277
      4456.54       1709.3244
      4458.62       1714.0321
      4460.71       1718.7523
      4462.79       1742.6410
      4464.87       1744.2255
      4466.95       1732.9969
      4469.04       1739.3744
      4471.12       1753.8344
      4473.20       1729.7517
      4475.28       1693.4790
      4477.37       1667.1544
      4479.45       1657.9520
      4481.53       1665.5898
      4483.61       1691.8619
      4485.69       1720.1296
      4487.78       1707.4899
      4489.86       1691.8243
      4491.94       1690.2561
      4494.02       1698.0488
      4496.11       1687.1265
      4498.19       1680.9147
      4500.27       1676.2679
      4502.35       1665.4889
      4504.43       1651.7337
      4506.52       1667.0123
      4508.60       1679.3357
      4510.68       1679.3307
      4512.76       1663.9315
      4514.85       1635.0643
      4516.93       1627.5507
      4519.01       1638.0755
      4521.09       1660.8627
      4523.18       1671.6059
      4525.26       1679.3220
      4527.34       1679.3241
      4529.42       1674.6931
      4531.50       1670.0751
      4533.59       1683.9792
      4535.67       1690.1992
      4537.75       1691.7617
      4539.83       1701.1439
      4541.92       1702.7180
      4544.00       1688.6685
      4546.08       1674.7360
      4548.16       1660.9202
      4550.24       1642.6741
      4552.33       1633.6308
      4554.41       1638.1613
      4556.49       1657.9046
      4558.57       1659.4443
      4560.66       1639.7058
      4562.74       1630.6827
      4564.82       1636.7154
      4566.90       1632.2141
      4568.98       1629.2265
      4571.07       1627.7422
      4573.15       1623.2660
      4575.23       1617.3149
      4577.31       1620.3138
      4579.40       1620.3329
      4581.48       1621.8447
      4583.56       1638.3801
      4585.64       1652.0390
      4587.73       1656.6311
      4589.81       1644.4918
      4591.89       1623.4461
      4593.97       1579.2251
      4596.05       1564.7699
      4598.14       1563.3530
      4600.22       1574.9388
      4602.30       1596.8739
      4604.38       1608.7093
      4606.47       1607.2554
      4608.55       1601.3733
      4610.63       1598.4539
      4612.71       1595.5401
      4614.79       1583.8563
      4616.88       1565.0342
      4618.96       1555.0073
      4621.04       1565.0961
      4623.12       1583.9802
      4625.21       1601.6160
      4627.29       1609.0431
      4629.37       1588.4615
      4631.45       1581.1979
      4633.54       1573.9666
      4635.62       1559.5717
      4637.70       1535.3780
      4639.78       1529.7672
      4641.86       1534.0371
      4643.95       1532.6619
      4646.03       1520.0462
      4648.11       1522.8873
      4650.19       1521.5236
      4652.28       1514.5709
      4654.36       1516.0070
      4656.44       1532.8955
      4658.52       1542.8522
      4660.60       1548.5894
      4662.69       1554.3468
      4664.77       1552.9596
      4666.85       1558.7358
      4668.93       1570.3099
      4671.02       1586.3452
      4673.10       1573.2976
      4675.18       1556.0520
      4677.26       1548.9487
      4679.35       1553.2831
      4681.43       1556.1948
      4683.51       1557.6780
      4685.59       1546.2922
      4687.67       1529.3459
      4689.76       1515.3749
      4691.84       1502.9151
      4693.92       1507.1249
      4696.00       1519.7204
      4698.09       1528.1946
      4700.17       1510.0586
      4702.25       1486.6512
      4704.33       1470.3636
      4706.42       1474.4845
      4708.50       1492.2996
      4710.58       1496.4844
      4712.66       1489.6632
      4714.74       1461.1828
      4716.83       1425.3484
      4718.91       1421.4700
      4720.99       1439.9729
      4723.07       1456.0338
      4725.16       1454.7510
      4727.24       1445.4587
      4729.32       1437.5508
      4731.40       1434.9640
      4733.48       1437.6693
      4735.57       1416.6964
      4737.65       1408.9479
      4739.73       1412.9055
      4741.81       1422.1054
      4743.90       1410.4258
      4745.98       1406.5954
      4748.06       1402.7757
      4750.14       1395.1065
      4752.23       1364.6671
      4754.31       1350.9715
      4756.39       1357.2693
      4758.47       1369.8902
      4760.55       1362.4032
      4762.64       1349.9757
      4764.72       1348.7959
      4766.80       1352.5914
      4768.88       1353.9019
      4770.97       1332.9325
      4773.05       1315.9194
      4775.13       1303.9176
      4777.21       1299.1872
      4779.29       1289.7135
      4781.38       1287.4035
      4783.46       1285.0996
      4785.54       1273.3811
      4787.62       1262.9344
      4789.71       1260.6746
      4791.79       1264.2277
      4793.87       1253.8574
      4795.95       1255.0786
      4798.03       1267.9262
      4800.12       1273.8458
      4802.20       1258.7518
      4804.28       1239.2635
      4806.36       1214.4717
      4808.45       1193.4693
      4810.53       1180.4155
      4812.61       1185.9305
      4814.69       1178.3745
      4816.78       1161.2025
      4818.86       1139.0229
      4820.94       1125.5301
      4823.02       1112.1979
