 $#  Uses Murphy approved list for HIRESb 
3790.083796 1   XX
3790.795014 1   Th
3792.730469 1   Th
3794.150875 1   Th
3797.454398 1   Th
3800.198363 1   Th
3800.372370 1   Th
3800.588763 1   Th
3804.698560 1   Th
3807.272730 1   Th
3807.874216 1   Th
3808.128934 1   Th
3809.456226 1   Ar
3809.835378 1   Th
3810.995489 1   Th
3812.397900 1   Th
3813.067943 1   Th
3815.026758 1   Th
3815.565429 1   Th
3815.839782 1   XX
3818.685274 1   Th
3820.792436 1   Th
3821.430886 1   Th
3822.862544 1   XX
3823.067356 1   Th
3824.443265 1   XX
3825.672458 1   Ar
3826.368830 1   Th
3826.807333 1   Ar
3828.384620 1   Th
3830.060435 1   Th
3830.773695 1   Th
3832.788843 1   Th
3834.678239 1   Ar
3835.710528 1   Th
3837.024398 1   Th
3837.875485 1   Th
3840.800127 1   Th
3841.518528 1   Ar
3841.960320 1   Th
3844.731154 1   Ar
3845.405511 1   Ar
3846.249004 1   Th
3847.619324 1   Th
3849.182350 1   Th
3850.133154 1   Th
3850.581478 1   Ar
3852.135168 1   Th
3852.958630 1   Th
3854.510257 1   Th
3863.405946 1   Th
3867.578321 1   Th
3868.528624 1   Ar
3869.663262 1   Th
3872.137342 1   Ar
3873.147903 1   Th
3873.822102 1   Th
3874.243737 1   Th
3874.862342 1   Th
3875.646477 1   Th
3879.268711 1   Th
3879.644138 1   Th
3880.332530 1   Ar
3881.498950 1   Th
3882.144129 1   Th
3884.819980 1   XX
3885.768405 1   Th
3889.906259 1   Th
3891.401794 1   Ar
3891.726166 1   Th
3891.979258 1   Ar
3893.651916 1   Th
3894.408678 1   Th
3894.660049 1   Ar
3895.419264 1   Th
3895.656074 1   XX
3898.795701 1   XX
3900.878145 1   Th
3901.152563 1   Th
3901.661916 1   Th
3903.102286 1   Th
3903.481532 1   Th
3905.186018 1   Th
3907.543305 1   Th
3908.748399 1   Th
3909.138646 1   Th
3910.521068 1   Th
3910.773586 1   Th
3911.576209 1   Ar
3914.164876 1   XX
3914.768255 1   Ar
3915.848553 1   Th
3916.417436 1   Th
3917.269011 1   Th
3918.501434 1   XX
3919.460113 1   XX
3922.217151 1   Th
3922.911845 1   XX
3923.799400 1   Th
3924.404367 1   XX
3925.093681 1   Th
3925.719162 1   Ar
3926.045746 1   Ar
3928.623574 1   Ar
3929.669203 1   Th
3931.997851 1   XX
3932.226498 1   Th
3932.546855 1   Ar
3932.911332 1   Th
3933.661199 1   Ca
3934.797506 1   XX
3935.940375 1   Th
3937.039891 1   Th
3937.924236 1   Th
3938.422467 1   Th
3939.154490 1   XX
3939.538116 1   XX
3945.507354 1   Th
3945.820294 1   Th
3947.504607 1   Ar
3950.395397 1   Th
3950.804941 1   Th
3951.107448 1   Th
3964.029968 1   Th
3966.964231 1   XX
3967.392112 1   Th
3969.002322 1   Th
3972.154338 1   XX
3972.639300 1   Th
3974.476567 1   Ar
3975.220269 1   Th
3976.414779 1   Th
3979.355779 1   Ar
3980.754517 1   Th
3981.106438 1   Th
3981.828197 1   Th
3982.102662 1   Th
3984.094828 1   Th
3984.374301 1   Th
3984.879451 1   Th
3987.705550 1   Th
3988.600082 1   Th
3988.845145 1   Th
3990.492442 1   Th
3991.731075 1   Th
3992.053554 1   Ar
3992.273486 1   Th
3993.299140 1   XX
3993.723783 1   Th
3994.549534 1   Th
3994.792091 1   Ar
3996.061659 1   Th
3996.669562 1   Th
3997.466523 1   Th
4000.280454 1   Th
4003.105728 1   Th
4005.092975 1   Th
4006.380689 1   Th
4008.210288 1   Th
4011.209659 1   Ar
4012.495421 1   Th
4013.856750 1   Ar
4014.716342 1   Th
4024.802230 1   Th
4025.655661 1   Th
4027.341056 1   Th
4029.826137 1   Th
4030.292633 1   XX
4030.842436 1   Th
4034.246283 1   Th
4035.460437 1   Ar
4036.047864 1   Th
4036.565449 1   Th
4038.804857 1   Ar
4039.865616 1   Th
4040.392894 1   Th
4041.203396 1   Th
4042.894358 1   Ar
4043.130267 1   Th
4043.395046 1   Th
4044.418042 1   Ar
4044.926781 1   Th
4046.251809 1   Th
4049.944572 1   Th
4050.887229 1   XX
4051.499156 1   Th
4052.921010 1   Ar
4054.302003 1   Th
4054.526327 1   Ar
4059.252861 1   Th
4061.625023 1   Th
4064.331561 1   Th
4067.450978 1   Th
4069.201920 1   Th
4069.760850 1   Th
4070.238160 1   Th
4072.384820 1   Ar
4074.641923 1   Th
4075.503004 1   Th
4076.628745 1   Ar
4076.943344 1   Ar
4081.367927 1   Th
4085.042472 1   Th
4085.433751 1   Th
4086.520592 1   Th
4089.137621 1   Th
4093.392143 1   Th
4093.671618 1   Th
4094.747403 1   Th
4096.076549 1   Th
4097.747286 1   Th
4098.933009 1   Th
4100.341269 1   Th
4102.617755 1   Th
4104.381577 1   Th
4104.837546 1   XX
4107.050320 1   XX
4108.419732 1   Th
4109.323634 1   Th
4113.558041 1   Th
4114.489721 1   Ar
4115.758823 1   Th
4116.713432 1   Th
4128.640145 1   Ar
4130.324641 1   XX
4131.002095 1   Th
4132.752737 1   Th
4135.479805 1   Th
4138.040573 1   Th
4140.235001 1   Th
4142.474639 1   Th
4142.700927 1   Th
4148.181686 1   Th
4151.145471 1   Th
4154.720565 1   Th
4156.085726 1   Ar
4156.515996 1   Th
4163.180012 1   Th
4165.766346 1   Th
4166.905758 1   Th
4167.865471 1   Th
4168.634060 1   Th
4168.968795 1   Ar
4171.341017 1   XX
4174.439626 1   XX
4178.059409 1   Th
4178.848605 1   Th
4181.883406 1   Ar
4184.137634 1   Th
4185.805041 1   XX
4187.140573 1   Th
4191.827206 1   Th
4192.361872 1   Th
4193.016371 1   Th
4194.082412 1   Th
4194.936108 1   Th
4195.558254 1   Th
4205.790752 1   XX
4207.612643 1   Th
4208.411158 1   Th
4210.456944 1   Th
4210.923021 1   Th
4211.514424 1   Th
4213.067117 1   Th
4215.627803 1   Th
4220.731987 1   Th
4221.691494 1   Th
4222.637351 1   Ar
4227.387297 1   Th
4228.157937 1   Ar
4229.147346 1   Th
4229.454187 1   Th
4230.426111 1   Th
4230.823466 1   Th
4232.261317 1   XX
4233.288251 1   Th
4233.906232 1   Th
4235.463786 1   Th
4236.390268 1   XX
4240.594678 1   Th
4241.094942 1   Th
4242.719927 1   Th
4243.019662 1   XX
4243.261039 1   Th
4243.924623 1   Th
4247.598794 1   Th
4247.987695 1   Th
4249.679373 1   Th
4253.538831 1   Th
4255.237191 1   XX
4256.253647 1   Th
4258.519951 1   Th
4261.275159 1   Th
4263.356268 1   Th
4264.106807 1   Th
4266.286458 1   Ar
4266.527325 1   Ar
4269.627600 1   XX
4269.942283 1   Th
4270.328531 1   Th
4272.874347 1   Th
4273.357439 1   Th
4274.024833 1   Th
4276.807189 1   Th
4278.322907 1   Th
4279.059142 1   Th
4280.567019 1   Th
4281.068158 1   Th
4281.414763 1   Th
4282.042086 1   Th
4283.518230 1   Th
4285.939783 1   Th
4286.699974 1   Th
4288.668800 1   Th
4291.809723 1   Th
4295.584873 1   Th
4295.815748 1   Th
4299.634234 1   Th
4299.839604 1   Th
4300.649946 1   Ar
4303.989208 1   Th
4307.176075 1   Th
4311.799273 1   Th
4313.310306 1   Th
4315.254471 1   Th
4319.098199 1   Th
4320.126431 1   Th
4325.274266 1   Th
4328.915443 1   Th
4330.411334 1   Th
4330.844120 1   Th
4332.029855 1   Ar
4337.277141 1   Th
4338.799024 1   XX
4340.895167 1   Th
4342.443971 1   Th
4343.381800 1   Th
4343.603671 1   Th
4343.951448 1   Th
4344.326495 1   Th
4349.072129 1   Th
4349.629976 1   Th
4355.320241 1   Th
4357.613456 1   Th
4358.320293 1   Th
4359.372555 1   Th
4360.167295 1   Th
4361.307194 1   Th
4362.066631 1   Ar
4363.794730 1   Ar
4365.930205 1   Th
4369.875571 1   Th
4372.489522 1   Ar
4376.530911 1   XX
4378.176824 1   Th
4379.213895 1   Ar
4379.667209 1   Ar
4380.286039 1   Th
4381.859986 1   Th
4385.057274 1   Ar
4391.110881 1   Th
4392.974102 1   Th
4393.759438 1   Th
4394.894594 1   Th
4396.478255 1   Th
4397.914880 1   Th
4400.096854 1   Ar
4401.580930 1   Th
4402.926798 1   Th
4409.898820 1   Th
4414.486318 1   Th
4416.237933 1   Th
4416.845034 1   Th
4419.770424 1   Th
4422.048113 1   Th
4423.261994 1   Th
4423.720151 1   Th
4430.996494 1   Ar
4432.252182 1   Th
4432.962762 1   Th
4433.838218 1   Ar
4435.678467 1   XX
4436.047887 1   Th
