 $#  Uses Murphy approved list for HIRESb 
  8139.9032 1 ThAr
  8143.1380 1 ThAr
  8149.7021 1 ThAr
  8152.3818 1 ThAr
  8157.5434 1 ThAr
  8159.7277 1 ThAr
  8163.1210 1 ThAr
  8166.4477 1 ThAr
  8169.7865 1 ThAr
  8177.1788 1 ThAr
  8186.9113 1 ThAr
  8190.8849 1 ThAr
  8194.3943 1 ThAr
  8198.4420 1 ThAr
  8202.1469 1 ThAr
  8207.4785 1 ThAr
  8209.4461 1 ThAr
  8214.1472 1 ThAr
  8217.2264 1 ThAr
  8231.4069 1 ThAr
  8234.9381 1 ThAr
  8252.3936 1 ThAr
  8253.6156 1 ThAr
  8254.7422 1 ThAr
  8259.5110 1 ThAr
  8261.0143 1 ThAr
  8264.5225 1 ThAr
  8275.6266 1 ThAr
  8288.4143 1 ThAr
  8292.5272 1 ThAr
  8295.5497 1 ThAr
  8297.1765 1 ThAr
  8304.4244 1 ThAr
  8311.6306 1 ThAr
  8320.8554 1 ThAr
  8330.4494 1 ThAr
  8335.7067 1 ThAr
  8341.4770 1 ThAr
  8356.0627 1 ThAr
  8356.0693 1 ThAr
  8358.7260 1 ThAr
  8360.4915 1 ThAr
  8366.0741 1 ThAr
  8367.3936 1 ThAr
  8369.3404 1 ThAr
  8379.2261 1 ThAr
  8384.7240 1 ThAr
  8385.7280 1 ThAr
  8387.1053 1 ThAr
  8388.5363 1 ThAr
  8398.1780 1 ThAr
  8399.2578 1 ThAr
  8401.9890 1 ThAr
  8403.7965 1 ThAr
  8408.2096 1 ThAr
  8411.9172 1 ThAr
  8416.7269 1 ThAr
  8417.9982 1 ThAr
  8421.2254 1 ThAr
  8424.6475 1 ThAr
  8432.4935 1 ThAr
  8445.4870 1 ThAr
  8446.5116 1 ThAr
  8450.6754 1 ThAr
  8456.3468 1 ThAr
  8464.2367 1 ThAr
  8465.6706 1 ThAr
  8471.8260 1 ThAr
  8478.3580 1 ThAr
  8490.3065 1 ThAr
  8500.6797 1 ThAr
  8510.6240 1 ThAr
  8511.9091 1 ThAr
  8516.5542 1 ThAr
  8521.4422 1 ThAr
  8539.7930 1 ThAr
  8542.0871 1 ThAr
  8543.7225 1 ThAr
  8544.5955 1 ThAr
  8554.9440 1 ThAr
  8556.3250 1 ThAr
  8558.4464 1 ThAr
  8560.4348 1 ThAr
  8568.2088 1 ThAr
  8573.1205 1 ThAr
  8575.3305 1 ThAr
  8577.2768 1 ThAr
  8587.6342 1 ThAr
  8591.8387 1 ThAr
  8593.1089 1 ThAr
  8599.7553 1 ThAr
  8604.0163 1 ThAr
  8605.7762 1 ThAr
  8616.2219 1 ThAr
  8620.4602 1 ThAr
  8621.3225 1 ThAr
  8629.1415 1 ThAr
  8631.3565 1 ThAr
  8638.3623 1 ThAr
  8639.4416 1 ThAr
  8645.3087 1 ThAr
  8649.1490 1 ThAr
  8655.8760 1 ThAr
  8662.1372 1 ThAr
  8665.4855 1 ThAr
  8667.9442 1 ThAr
  8675.3983 1 ThAr
  8678.4083 1 ThAr
  8687.8480 1 ThAr
  8701.1209 1 ThAr
  8703.7025 1 ThAr
  8704.8601 1 ThAr
  8707.3592 1 ThAr
  8709.2341 1 ThAr
  8710.4142 1 ThAr
  8712.8528 1 ThAr
  8713.6547 1 ThAr
  8719.6290 1 ThAr
  8721.6595 1 ThAr
  8722.4577 1 ThAr
  8723.7177 1 ThAr
  8724.3761 1 ThAr
  8732.4240 1 ThAr
  8734.0234 1 ThAr
  8739.7816 1 ThAr
  8748.0309 1 ThAr
  8749.1697 1 ThAr
  8751.2062 1 ThAr
  8758.2434 1 ThAr
  8760.4496 1 ThAr
  8761.6862 1 ThAr
  8766.7450 1 ThAr
  8771.8602 1 ThAr
  8772.8052 1 ThAr
  8775.5733 1 ThAr
  8782.7156 1 ThAr
  8784.5621 1 ThAr
  8790.3761 1 ThAr
  8792.0572 1 ThAr
  8798.1720 1 ThAr
  8799.0875 1 ThAr
  8804.5894 1 ThAr
  8810.2540 1 ThAr
  8816.1728 1 ThAr
  8817.7431 1 ThAr
  8829.6938 1 ThAr
  8841.1822 1 ThAr
  8842.0744 1 ThAr
  8849.9165 1 ThAr
  8852.7916 1 ThAr
  8854.9079 1 ThAr
  8868.8334 1 ThAr
  8875.2324 1 ThAr
  8889.1939 1 ThAr
  8892.9865 1 ThAr
  8899.2971 1 ThAr
  8905.6581 1 ThAr
  8907.0331 1 ThAr
  8910.8566 1 ThAr
  8920.2012 1 ThAr
  8928.0925 1 ThAr
  8941.6608 1 ThAr
  8949.1227 1 ThAr
  8955.8467 1 ThAr
  8957.9860 1 ThAr
  8962.1468 1 ThAr
  8967.6403 1 ThAr
  8969.8667 1 ThAr
  8985.2808 1 ThAr
  8987.4079 1 ThAr
  8990.8935 1 ThAr
  8995.1893 1 ThAr
  8997.8763 1 ThAr
  9008.4636 1 ThAr
  9009.8832 1 ThAr
  9012.5263 1 ThAr
  9016.5903 1 ThAr
  9017.5912 1 ThAr
  9031.8194 1 ThAr
  9035.9195 1 ThAr
  9037.8938 1 ThAr
  9038.6911 1 ThAr
  9040.1229 1 ThAr
  9045.3532 1 ThAr
  9048.2501 1 ThAr
  9053.4858 1 ThAr
  9056.0813 1 ThAr
  9062.5631 1 ThAr
  9063.9600 1 ThAr
  9066.1115 1 ThAr
  9068.0230 1 ThAr
  9069.5817 1 ThAr
  9072.2785 1 ThAr
  9075.3945 1 ThAr
  9090.8186 1 ThAr
  9094.8289 1 ThAr
  9107.2269 1 ThAr
  9111.5314 1 ThAr
  9122.9674 1 ThAr
  9132.2739 1 ThAr
  9134.6919 1 ThAr
  9140.5559 1 ThAr
  9159.0346 1 ThAr
  9165.8950 1 ThAr
  9170.8220 1 ThAr
  9178.7795 1 ThAr
  9187.5654 1 ThAr
  9193.5928 1 ThAr
  9194.6385 1 ThAr
  9199.6841 1 ThAr
  9203.9617 1 ThAr
  9208.5811 1 ThAr
  9215.9197 1 ThAr
  9224.4992 0 ThAr
  9227.5119 1 ThAr
  9232.4960 1 ThAr
  9233.8574 1 ThAr
  9239.3261 1 ThAr
  9250.5782 1 ThAr
  9260.3254 1 ThAr
  9263.6930 1 ThAr
  9266.2070 1 ThAr
  9266.9198 1 ThAr
  9267.6895 1 ThAr
  9270.1501 1 ThAr
  9276.2732 1 ThAr
  9289.5624 1 ThAr
  9291.5313 1 ThAr
  9294.9740 1 ThAr
  9300.0131 1 ThAr
  9307.8956 1 ThAr
  9310.4440 1 ThAr
  9317.7296 1 ThAr
  9336.1509 1 ThAr
  9336.1624 1 ThAr
  9340.7053 1 ThAr
  9354.2198 1 ThAr
  9360.9879 1 ThAr
  9383.2722 1 ThAr
  9388.9308 1 ThAr
  9390.5852 1 ThAr
  9399.0891 1 ThAr
  9409.3488 1 ThAr
  9414.0886 1 ThAr
  9420.4985 1 ThAr
  9431.5996 1 ThAr
  9432.2827 1 ThAr
  9436.8127 1 ThAr
  9455.2023 1 ThAr
  9461.0279 1 ThAr
  9467.1954 1 ThAr
  9470.6819 1 ThAr
  9474.8793 1 ThAr
  9486.9256 1 ThAr
  9494.0442 1 ThAr
  9495.4979 1 ThAr
  9497.1891 1 ThAr
  9500.2999 1 ThAr
  9505.3930 1 ThAr
  9507.6525 1 ThAr
  9508.4513 1 ThAr
  9535.6566 1 ThAr
  9548.0303 1 ThAr
  9561.2452 1 ThAr
  9577.3475 1 ThAr
  9582.8133 1 ThAr
  9595.3906 1 ThAr
  9613.6911 1 ThAr
  9629.5693 1 ThAr
  9632.6439 1 ThAr
  9657.7863 1 ThAr
  9664.6983 1 ThAr
  9700.563011  1  ThAr
  9702.271906  1  ThAr
  9716.141919  1  ThAr
  9718.492085  1  ThAr
  9726.582216  1  ThAr
  9734.553690  1  ThAr
  9736.212381  1  ThAr
  9739.768676  1  ThAr
  9743.561364  1  ThAr
  9746.462788  1  ThAr
  9753.591926  1  ThAr
  9757.2197 1 ThAr
  9764.6062 1 ThAr
  9769.5348 1 ThAr
  9779.4532 1 ThAr
  9784.5028 1 ThAr
  9789.5111 1 ThAr
  9796.2002 1 ThAr
  9797.2456 1 ThAr
  9800.3629 1 ThAr
  9801.7074 1 ThAr
  9812.6976 1 ThAr
  9814.9578 1 ThAr
  9819.1781 1 ThAr
  9826.4497 1 ThAr
  9833.4232 1 ThAr
  9837.1669 1 ThAr
  9838.0046 1 ThAr
  9840.9172 1 ThAr
  9845.6835 1 ThAr
  9855.7421 1 ThAr
  9864.5972 1 ThAr
  9865.4489 1 ThAr
  9867.8902 1 ThAr
  9868.9206 1 ThAr
  9871.9947 1 ThAr
  9872.6300 1 ThAr
  9873.8151 1 ThAr
  9878.5208 1 ThAr
  9880.7853 1 ThAr
  9896.0483 1 ThAr
  9898.3532 1 ThAr
  9902.3569 1 ThAr
  9906.3907 1 ThAr
  9907.4718 1 ThAr
  9910.0750 1 ThAr
  9911.1129 1 ThAr
  9912.1996 1 ThAr
  9913.6234 1 ThAr
  9923.3088 1 ThAr
  9927.3252 1 ThAr
  9932.7748 1 ThAr
  9934.7173 1 ThAr
  9935.1992 1 ThAr
  9938.8355 1 ThAr
  9943.0647 1 ThAr
  9952.3704 1 ThAr
  9952.8033 1 ThAr
  9963.4911 1 ThAr
  9970.4625 1 ThAr
  9974.6893 1 ThAr
  9985.0500 1 ThAr
  9987.6352 1 ThAr
  9989.9371 1 ThAr
  9992.6485 1 ThAr
  9993.8630 1 ThAr
  9998.5092 1 ThAr
  9998.9599 1 ThAr
  10011.3953 1 ThAr
  10022.2836 1 ThAr
  10033.2218 1 ThAr
  10037.1188 1 ThAr
  10039.3641 1 ThAr
  10045.3125 1 ThAr
  10048.0365 1 ThAr
  10054.9620 1 ThAr
  10056.2091 1 ThAr
  10079.5414 1 ThAr
  10082.8793 1 ThAr
  10083.7854 1 ThAr
  10086.4035 1 ThAr
  10089.1351 1 ThAr
  10102.5746 1 ThAr
  10105.0769 1 ThAr
  10117.9901 1 ThAr
  10133.5662 1 ThAr
  10137.3865 1 ThAr
  10140.4309 1 ThAr
  10141.3970 1 ThAr
  10144.2649 1 ThAr
  10175.0079 1 ThAr
  10178.5192 1 ThAr
  10180.5933 1 ThAr
  10184.5392 1 ThAr
  10188.4156 1 ThAr
  10211.5330 1 ThAr
  10218.4327 1 ThAr
  10223.6585 1 ThAr
  10236.0280 1 ThAr
  10241.7747 1 ThAr
  10247.5568 1 ThAr
  10250.6792 1 ThAr
  10255.5804 1 ThAr
  10257.3690 1 ThAr
  10258.1668 1 ThAr
  10271.1881 1 ThAr
  10273.6965 1 ThAr
  10276.7976 1 ThAr
  10283.1162 1 ThAr
  10288.9919 1 ThAr
  10293.0491 1 ThAr
  10301.1668 1 ThAr
  10308.5442 1 ThAr
  10316.8910 1 ThAr
  10343.8210 1 ThAr
  10346.5367 1 ThAr
  10349.0483 1 ThAr
  10358.1678 1 ThAr
  10412.9915 1 ThAr
  10419.5787 1 ThAr
  10429.6706 1 ThAr
  10450.4421 1 ThAr
  10459.7208 1 ThAr
  10470.0535 1 ThAr
  10492.2578 1 ThAr
  10494.8400 1 ThAr
  10498.4920 1 ThAr
  10512.2045 1 ThAr
  10527.7862 1 ThAr
  10556.4500 1 ThAr
  10565.3047 1 ThAr
