# COL_ERR=0.00000  COL_PHI=0.00000  TNT_ANG=71.0000  TNT_PHI=90.0810
## Alpha-tanx tany | xmask ymask
 0.1152228 -0.8651517  185.71428  -17.95918
 0.1196986 -0.8650969  193.14285  -17.95918
 0.1241750 -0.8650405  200.57142  -17.95918
 0.1286520 -0.8649825  207.99999  -17.95918
 0.1331296 -0.8649228  215.42857  -17.95918
 0.1376079 -0.8648616  222.85714  -17.95918
 0.1420869 -0.8647988  230.28571  -17.95918
 0.1465665 -0.8647343  237.71428  -17.95918
 0.1510469 -0.8646682  245.14285  -17.95918
 0.1555280 -0.8646005  252.57142  -17.95918
 0.1600098 -0.8645312  259.99999  -17.95918
 0.1644925 -0.8644603  267.42856  -17.95918
 0.1689759 -0.8643878  274.85714  -17.95918
 0.1734601 -0.8643136  282.28571  -17.95918
 0.1779452 -0.8642378  289.71428  -17.95918
 0.1824311 -0.8641604  297.14285  -17.95918
 0.1869179 -0.8640813  304.57142  -17.95918
 0.1914056 -0.8640006  311.99999  -17.95918
 0.1958942 -0.8639183  319.42856  -17.95918
 0.2003837 -0.8638343  326.85713  -17.95918
 0.2048742 -0.8637487  334.28571  -17.95918
 0.2093657 -0.8636615  341.71428  -17.95918
 0.2138582 -0.8635726  349.14285  -17.95918
 0.2183516 -0.8634821  356.57142  -17.95918
 0.2228461 -0.8633899  363.99999  -17.95918
 0.2273417 -0.8632961  371.42856  -17.95918
 0.2318383 -0.8632006  378.85713  -17.95918
 0.2363360 -0.8631035  386.28570  -17.95918
 0.2408348 -0.8630047  393.71427  -17.95918
 0.2453347 -0.8629043  401.14285  -17.95918
 0.2498357 -0.8628022  408.57142  -17.95918
-0.2433122 -0.8679547 -408.57142  -13.46939
-0.2388044 -0.8680272 -401.14285  -13.46939
-0.2342976 -0.8680981 -393.71427  -13.46939
-0.2297920 -0.8681674 -386.28570  -13.46939
-0.2252875 -0.8682350 -378.85713  -13.46939
-0.2207840 -0.8683010 -371.42856  -13.46939
-0.2162816 -0.8683654 -363.99999  -13.46939
-0.2117802 -0.8684282 -356.57142  -13.46939
-0.2072798 -0.8684893 -349.14285  -13.46939
-0.2027805 -0.8685488 -341.71428  -13.46939
-0.1982821 -0.8686067 -334.28571  -13.46939
-0.1937846 -0.8686630 -326.85713  -13.46939
-0.1892881 -0.8687177 -319.42856  -13.46939
-0.1847925 -0.8687707 -311.99999  -13.46939
-0.1802979 -0.8688222 -304.57142  -13.46939
-0.1758041 -0.8688720 -297.14285  -13.46939
-0.1713111 -0.8689203 -289.71428  -13.46939
-0.1668190 -0.8689669 -282.28571  -13.46939
-0.1623277 -0.8690119 -274.85714  -13.46939
-0.1578373 -0.8690553 -267.42856  -13.46939
-0.1533475 -0.8690972 -259.99999  -13.46939
-0.1488586 -0.8691374 -252.57142  -13.46939
-0.1443704 -0.8691760 -245.14285  -13.46939
-0.1398829 -0.8692131 -237.71428  -13.46939
-0.1353961 -0.8692485 -230.28571  -13.46939
-0.1309100 -0.8692824 -222.85714  -13.46939
-0.1264245 -0.8693146 -215.42857  -13.46939
-0.1219397 -0.8693453 -207.99999  -13.46939
-0.1174555 -0.8693744 -200.57142  -13.46939
-0.1129719 -0.8694019 -193.14285  -13.46939
-0.1084888 -0.8694279 -185.71428  -13.46939
-0.1040063 -0.8694522 -178.28571  -13.46939
-0.0995243 -0.8694750 -170.85714  -13.46939
-0.0950429 -0.8694961 -163.42857  -13.46939
