# COL_ERR=0.00000  COL_PHI=0.00000  TNT_ANG=71.0000  TNT_PHI=90.0810
## xmask ymask | Alpha-tanx tany
-111.42857  -17.95918 -0.0635813 -0.8660371
-104.00000  -17.95918 -0.0591108 -0.8660459
 -96.57143  -17.95918 -0.0546406 -0.8660532
 -89.14285  -17.95918 -0.0501707 -0.8660589
 -81.71428  -17.95918 -0.0457011 -0.8660629
 -74.28571  -17.95918 -0.0412317 -0.8660654
 -66.85714  -17.95918 -0.0367625 -0.8660663
 -59.42857  -17.95918 -0.0322935 -0.8660656
 -52.00000  -17.95918 -0.0278246 -0.8660634
 -44.57143  -17.95918 -0.0233560 -0.8660595
 -37.14286  -17.95918 -0.0188874 -0.8660540
 -29.71428  -17.95918 -0.0144190 -0.8660470
 -22.28571  -17.95918 -0.0099506 -0.8660384
 -14.85714  -17.95918 -0.0054823 -0.8660282
  -7.42857  -17.95918 -0.0010140 -0.8660164
   0.00000  -17.95918  0.0034543 -0.8660030
   7.42857  -17.95918  0.0079226 -0.8659880
  14.85714  -17.95918  0.0123909 -0.8659715
  22.28571  -17.95918  0.0168593 -0.8659533
  29.71428  -17.95918  0.0213277 -0.8659336
  37.14286  -17.95918  0.0257962 -0.8659123
  44.57143  -17.95918  0.0302649 -0.8658894
  52.00000  -17.95918  0.0347337 -0.8658649
  59.42857  -17.95918  0.0392027 -0.8658388
  66.85714  -17.95918  0.0436719 -0.8658111
  74.28571  -17.95918  0.0481413 -0.8657818
  81.71428  -17.95918  0.0526109 -0.8657510
  89.14285  -17.95918  0.0570808 -0.8657185
  96.57143  -17.95918  0.0615510 -0.8656845
 104.00000  -17.95918  0.0660214 -0.8656489
 111.42857  -17.95918  0.0704922 -0.8656117
 118.85714  -17.95918  0.0749633 -0.8655729
 126.28571  -17.95918  0.0794348 -0.8655324
 133.71428  -17.95918  0.0839067 -0.8654904
 141.14285  -17.95918  0.0883791 -0.8654468
 148.57142  -17.95918  0.0928518 -0.8654017
 156.00000  -17.95918  0.0973250 -0.8653549
 163.42857  -17.95918  0.1017987 -0.8653065
 170.85714  -17.95918  0.1062729 -0.8652565
 178.28571  -17.95918  0.1107476 -0.8652049
 185.71428  -17.95918  0.1152228 -0.8651517
 193.14285  -17.95918  0.1196986 -0.8650969
 200.57142  -17.95918  0.1241750 -0.8650405
 207.99999  -17.95918  0.1286520 -0.8649825
 215.42857  -17.95918  0.1331296 -0.8649228
 222.85714  -17.95918  0.1376079 -0.8648616
 230.28571  -17.95918  0.1420869 -0.8647988
 237.71428  -17.95918  0.1465665 -0.8647343
 245.14285  -17.95918  0.1510469 -0.8646682
 252.57142  -17.95918  0.1555280 -0.8646005
 259.99999  -17.95918  0.1600098 -0.8645312
 267.42856  -17.95918  0.1644925 -0.8644603
 274.85714  -17.95918  0.1689759 -0.8643878
 282.28571  -17.95918  0.1734601 -0.8643136
 289.71428  -17.95918  0.1779452 -0.8642378
 297.14285  -17.95918  0.1824311 -0.8641604
 304.57142  -17.95918  0.1869179 -0.8640813
 311.99999  -17.95918  0.1914056 -0.8640006
 319.42856  -17.95918  0.1958942 -0.8639183
 326.85713  -17.95918  0.2003837 -0.8638343
 334.28571  -17.95918  0.2048742 -0.8637487
 341.71428  -17.95918  0.2093657 -0.8636615
 349.14285  -17.95918  0.2138582 -0.8635726
 356.57142  -17.95918  0.2183516 -0.8634821
 363.99999  -17.95918  0.2228461 -0.8633899
 371.42856  -17.95918  0.2273417 -0.8632961
 378.85713  -17.95918  0.2318383 -0.8632006
 386.28570  -17.95918  0.2363360 -0.8631035
 393.71427  -17.95918  0.2408348 -0.8630047
 401.14285  -17.95918  0.2453347 -0.8629043
 408.57142  -17.95918  0.2498357 -0.8628022
-408.57142  -13.46939 -0.2433122 -0.8679547
-401.14285  -13.46939 -0.2388044 -0.8680272
-393.71427  -13.46939 -0.2342976 -0.8680981
-386.28570  -13.46939 -0.2297920 -0.8681674
-378.85713  -13.46939 -0.2252875 -0.8682350
-371.42856  -13.46939 -0.2207840 -0.8683010
-363.99999  -13.46939 -0.2162816 -0.8683654
-356.57142  -13.46939 -0.2117802 -0.8684282
-349.14285  -13.46939 -0.2072798 -0.8684893
-341.71428  -13.46939 -0.2027805 -0.8685488
-334.28571  -13.46939 -0.1982821 -0.8686067
-326.85713  -13.46939 -0.1937846 -0.8686630
-319.42856  -13.46939 -0.1892881 -0.8687177
-311.99999  -13.46939 -0.1847925 -0.8687707
-304.57142  -13.46939 -0.1802979 -0.8688222
-297.14285  -13.46939 -0.1758041 -0.8688720
-289.71428  -13.46939 -0.1713111 -0.8689203
-282.28571  -13.46939 -0.1668190 -0.8689669
-274.85714  -13.46939 -0.1623277 -0.8690119
-267.42856  -13.46939 -0.1578373 -0.8690553
-259.99999  -13.46939 -0.1533475 -0.8690972
-252.57142  -13.46939 -0.1488586 -0.8691374
-245.14285  -13.46939 -0.1443704 -0.8691760
-237.71428  -13.46939 -0.1398829 -0.8692131
-230.28571  -13.46939 -0.1353961 -0.8692485
-222.85714  -13.46939 -0.1309100 -0.8692824
-215.42857  -13.46939 -0.1264245 -0.8693146
-207.99999  -13.46939 -0.1219397 -0.8693453
-200.57142  -13.46939 -0.1174555 -0.8693744
-193.14285  -13.46939 -0.1129719 -0.8694019
-185.71428  -13.46939 -0.1084888 -0.8694279
-178.28571  -13.46939 -0.1040063 -0.8694522
-170.85714  -13.46939 -0.0995243 -0.8694750
-163.42857  -13.46939 -0.0950429 -0.8694961
-156.00000  -13.46939 -0.0905619 -0.8695157
-148.57142  -13.46939 -0.0860813 -0.8695338
-141.14285  -13.46939 -0.0816012 -0.8695502
-133.71428  -13.46939 -0.0771216 -0.8695651
-126.28571  -13.46939 -0.0726423 -0.8695784
-118.85714  -13.46939 -0.0681634 -0.8695901
-111.42857  -13.46939 -0.0636848 -0.8696002
-104.00000  -13.46939 -0.0592066 -0.8696088
 -96.57143  -13.46939 -0.0547286 -0.8696158
 -89.14285  -13.46939 -0.0502510 -0.8696212
 -81.71428  -13.46939 -0.0457736 -0.8696251
 -74.28571  -13.46939 -0.0412965 -0.8696274
 -66.85714  -13.46939 -0.0368195 -0.8696281
 -59.42857  -13.46939 -0.0323428 -0.8696272
 -52.00000  -13.46939 -0.0278662 -0.8696248
 -44.57143  -13.46939 -0.0233898 -0.8696208
 -37.14286  -13.46939 -0.0189135 -0.8696152
 -29.71428  -13.46939 -0.0144373 -0.8696081
 -22.28571  -13.46939 -0.0099612 -0.8695994
 -14.85714  -13.46939 -0.0054852 -0.8695891
  -7.42857  -13.46939 -0.0010092 -0.8695773
   0.00000  -13.46939  0.0034668 -0.8695639
   7.42857  -13.46939  0.0079428 -0.8695489
  14.85714  -13.46939  0.0124189 -0.8695323
  22.28571  -13.46939  0.0168950 -0.8695142
  29.71428  -13.46939  0.0213712 -0.8694945
  37.14286  -13.46939  0.0258475 -0.8694733
  44.57143  -13.46939  0.0303239 -0.8694504
  52.00000  -13.46939  0.0348004 -0.8694260
  59.42857  -13.46939  0.0392772 -0.8694001
  66.85714  -13.46939  0.0437541 -0.8693725
  74.28571  -13.46939  0.0482312 -0.8693434
  81.71428  -13.46939  0.0527086 -0.8693127
  89.14285  -13.46939  0.0571862 -0.8692805
  96.57143  -13.46939  0.0616641 -0.8692467
 104.00000  -13.46939  0.0661423 -0.8692113
 111.42857  -13.46939  0.0706209 -0.8691743
 118.85714  -13.46939  0.0750998 -0.8691357
 126.28571  -13.46939  0.0795790 -0.8690956
 133.71428  -13.46939  0.0840587 -0.8690539
 141.14285  -13.46939  0.0885388 -0.8690106
 148.57142  -13.46939  0.0930193 -0.8689657
 156.00000  -13.46939  0.0975002 -0.8689193
 163.42857  -13.46939  0.1019817 -0.8688712
 170.85714  -13.46939  0.1064636 -0.8688216
 178.28571  -13.46939  0.1109461 -0.8687704
 185.71428  -13.46939  0.1154292 -0.8687177
 193.14285  -13.46939  0.1199127 -0.8686633
 200.57142  -13.46939  0.1243969 -0.8686073
 207.99999  -13.46939  0.1288817 -0.8685498
 215.42857  -13.46939  0.1333672 -0.8684906
 222.85714  -13.46939  0.1378533 -0.8684299
 230.28571  -13.46939  0.1423400 -0.8683676
 237.71428  -13.46939  0.1468275 -0.8683037
 245.14285  -13.46939  0.1513157 -0.8682382
 252.57142  -13.46939  0.1558046 -0.8681710
 259.99999  -13.46939  0.1602943 -0.8681023
 267.42856  -13.46939  0.1647847 -0.8680320
 274.85714  -13.46939  0.1692760 -0.8679601
 282.28571  -13.46939  0.1737681 -0.8678866
 289.71428  -13.46939  0.1782610 -0.8678114
 297.14285  -13.46939  0.1827548 -0.8677347
 304.57142  -13.46939  0.1872495 -0.8676563
 311.99999  -13.46939  0.1917450 -0.8675763
 319.42856  -13.46939  0.1962415 -0.8674947
 326.85713  -13.46939  0.2007390 -0.8674115
 334.28571  -13.46939  0.2052373 -0.8673267
 341.71428  -13.46939  0.2097367 -0.8672403
 349.14285  -13.46939  0.2142371 -0.8671522
 356.57142  -13.46939  0.2187385 -0.8670625
 363.99999  -13.46939  0.2232409 -0.8669711
 371.42856  -13.46939  0.2277444 -0.8668782
 378.85713  -13.46939  0.2322489 -0.8667836
 386.28570  -13.46939  0.2367546 -0.8666873
 393.71427  -13.46939  0.2412613 -0.8665894
 401.14285  -13.46939  0.2457692 -0.8664899
 408.57142  -13.46939  0.2502782 -0.8663887
-408.57142   -8.97959 -0.2437312 -0.8715560
-401.14285   -8.97959 -0.2392154 -0.8716275
-393.71427   -8.97959 -0.2347006 -0.8716975
-386.28570   -8.97959 -0.2301870 -0.8717658
-378.85713   -8.97959 -0.2256745 -0.8718325
-371.42856   -8.97959 -0.2211631 -0.8718976
-363.99999   -8.97959 -0.2166527 -0.8719611
-356.57142   -8.97959 -0.2121434 -0.8720230
-349.14285   -8.97959 -0.2076351 -0.8720833
-341.71428   -8.97959 -0.2031278 -0.8721419
-334.28571   -8.97959 -0.1986214 -0.8721990
-326.85713   -8.97959 -0.1941161 -0.8722545
-319.42856   -8.97959 -0.1896116 -0.8723084
-311.99999   -8.97959 -0.1851082 -0.8723606
-304.57142   -8.97959 -0.1806056 -0.8724113
-297.14285   -8.97959 -0.1761039 -0.8724604
-289.71428   -8.97959 -0.1716030 -0.8725079
-282.28571   -8.97959 -0.1671031 -0.8725539
-274.85714   -8.97959 -0.1626039 -0.8725982
-267.42856   -8.97959 -0.1581055 -0.8726410
-259.99999   -8.97959 -0.1536080 -0.8726821
-252.57142   -8.97959 -0.1491112 -0.8727217
-245.14285   -8.97959 -0.1446151 -0.8727598
-237.71428   -8.97959 -0.1401198 -0.8727962
-230.28571   -8.97959 -0.1356251 -0.8728311
-222.85714   -8.97959 -0.1311312 -0.8728644
-215.42857   -8.97959 -0.1266379 -0.8728961
-207.99999   -8.97959 -0.1221452 -0.8729262
-200.57142   -8.97959 -0.1176532 -0.8729548
-193.14285   -8.97959 -0.1131617 -0.8729819
-185.71428   -8.97959 -0.1086709 -0.8730073
-178.28571   -8.97959 -0.1041805 -0.8730312
-170.85714   -8.97959 -0.0996908 -0.8730535
-163.42857   -8.97959 -0.0952015 -0.8730743
-156.00000   -8.97959 -0.0907127 -0.8730935
-148.57142   -8.97959 -0.0862243 -0.8731111
-141.14285   -8.97959 -0.0817364 -0.8731272
-133.71428   -8.97959 -0.0772490 -0.8731417
-126.28571   -8.97959 -0.0727619 -0.8731547
-118.85714   -8.97959 -0.0682752 -0.8731661
-111.42857   -8.97959 -0.0637888 -0.8731759
-104.00000   -8.97959 -0.0593028 -0.8731842
 -96.57143   -8.97959 -0.0548171 -0.8731910
 -89.14285   -8.97959 -0.0503317 -0.8731962
 -81.71428   -8.97959 -0.0458465 -0.8731998
 -74.28571   -8.97959 -0.0413616 -0.8732019
 -66.85714   -8.97959 -0.0368769 -0.8732024
 -59.42857   -8.97959 -0.0323924 -0.8732014
 -52.00000   -8.97959 -0.0279081 -0.8731988
 -44.57143   -8.97959 -0.0234239 -0.8731947
 -37.14286   -8.97959 -0.0189398 -0.8731890
 -29.71428   -8.97959 -0.0144558 -0.8731817
 -22.28571   -8.97959 -0.0099720 -0.8731729
 -14.85714   -8.97959 -0.0054881 -0.8731626
  -7.42857   -8.97959 -0.0010044 -0.8731507
   0.00000   -8.97959  0.0034794 -0.8731373
   7.42857   -8.97959  0.0079632 -0.8731223
  14.85714   -8.97959  0.0124470 -0.8731058
  22.28571   -8.97959  0.0169309 -0.8730877
  29.71428   -8.97959  0.0214149 -0.8730680
  37.14286   -8.97959  0.0258989 -0.8730468
  44.57143   -8.97959  0.0303831 -0.8730241
  52.00000   -8.97959  0.0348674 -0.8729998
  59.42857   -8.97959  0.0393519 -0.8729739
  66.85714   -8.97959  0.0438366 -0.8729465
  74.28571   -8.97959  0.0483215 -0.8729176
  81.71428   -8.97959  0.0528067 -0.8728870
  89.14285   -8.97959  0.0572921 -0.8728550
  96.57143   -8.97959  0.0617778 -0.8728213
 104.00000   -8.97959  0.0662638 -0.8727862
 111.42857   -8.97959  0.0707501 -0.8727494
 118.85714   -8.97959  0.0752368 -0.8727111
 126.28571   -8.97959  0.0797238 -0.8726713
 133.71428   -8.97959  0.0842113 -0.8726299
 141.14285   -8.97959  0.0886992 -0.8725869
 148.57142   -8.97959  0.0931875 -0.8725423
 156.00000   -8.97959  0.0976763 -0.8724962
 163.42857   -8.97959  0.1021655 -0.8724486
 170.85714   -8.97959  0.1066553 -0.8723993
 178.28571   -8.97959  0.1111456 -0.8723486
 185.71428   -8.97959  0.1156364 -0.8722962
 193.14285   -8.97959  0.1201279 -0.8722423
 200.57142   -8.97959  0.1246199 -0.8721868
 207.99999   -8.97959  0.1291125 -0.8721297
 215.42857   -8.97959  0.1336058 -0.8720710
 222.85714   -8.97959  0.1380997 -0.8720108
 230.28571   -8.97959  0.1425943 -0.8719490
 237.71428   -8.97959  0.1470897 -0.8718856
 245.14285   -8.97959  0.1515857 -0.8718207
 252.57142   -8.97959  0.1560825 -0.8717541
 259.99999   -8.97959  0.1605800 -0.8716860
 267.42856   -8.97959  0.1650784 -0.8716163
 274.85714   -8.97959  0.1695775 -0.8715450
 282.28571   -8.97959  0.1740775 -0.8714721
 289.71428   -8.97959  0.1785783 -0.8713977
 297.14285   -8.97959  0.1830800 -0.8713216
 304.57142   -8.97959  0.1875826 -0.8712439
 311.99999   -8.97959  0.1920860 -0.8711647
 319.42856   -8.97959  0.1965904 -0.8710838
 326.85713   -8.97959  0.2010958 -0.8710014
 334.28571   -8.97959  0.2056021 -0.8709173
 341.71428   -8.97959  0.2101094 -0.8708317
 349.14285   -8.97959  0.2146178 -0.8707444
 356.57142   -8.97959  0.2191271 -0.8706555
 363.99999   -8.97959  0.2236375 -0.8705650
 371.42856   -8.97959  0.2281489 -0.8704729
 378.85713   -8.97959  0.2326615 -0.8703792
 386.28570   -8.97959  0.2371751 -0.8702838
 393.71427   -8.97959  0.2416898 -0.8701869
 401.14285   -8.97959  0.2462057 -0.8700883
 408.57142   -8.97959  0.2507227 -0.8699880
-408.57142   -4.48980 -0.2441522 -0.8751701
-401.14285   -4.48980 -0.2396283 -0.8752407
-393.71427   -4.48980 -0.2351055 -0.8753096
-386.28570   -4.48980 -0.2305839 -0.8753770
-378.85713   -4.48980 -0.2260634 -0.8754428
-371.42856   -4.48980 -0.2215439 -0.8755070
-363.99999   -4.48980 -0.2170256 -0.8755696
-356.57142   -4.48980 -0.2125083 -0.8756306
-349.14285   -4.48980 -0.2079920 -0.8756900
-341.71428   -4.48980 -0.2034767 -0.8757478
-334.28571   -4.48980 -0.1989624 -0.8758040
-326.85713   -4.48980 -0.1944491 -0.8758587
-319.42856   -4.48980 -0.1899367 -0.8759118
-311.99999   -4.48980 -0.1854253 -0.8759633
-304.57142   -4.48980 -0.1809147 -0.8760132
-297.14285   -4.48980 -0.1764051 -0.8760616
-289.71428   -4.48980 -0.1718963 -0.8761083
-282.28571   -4.48980 -0.1673884 -0.8761536
-274.85714   -4.48980 -0.1628814 -0.8761972
-267.42856   -4.48980 -0.1583751 -0.8762393
-259.99999   -4.48980 -0.1538696 -0.8762798
-252.57142   -4.48980 -0.1493649 -0.8763188
-245.14285   -4.48980 -0.1448610 -0.8763562
-237.71428   -4.48980 -0.1403577 -0.8763920
-230.28571   -4.48980 -0.1358552 -0.8764263
-222.85714   -4.48980 -0.1313534 -0.8764590
-215.42857   -4.48980 -0.1268522 -0.8764902
-207.99999   -4.48980 -0.1223517 -0.8765198
-200.57142   -4.48980 -0.1178518 -0.8765479
-193.14285   -4.48980 -0.1133525 -0.8765744
-185.71428   -4.48980 -0.1088538 -0.8765994
-178.28571   -4.48980 -0.1043556 -0.8766228
-170.85714   -4.48980 -0.0998579 -0.8766447
-163.42857   -4.48980 -0.0953608 -0.8766651
-156.00000   -4.48980 -0.0908642 -0.8766839
-148.57142   -4.48980 -0.0863680 -0.8767011
-141.14285   -4.48980 -0.0818723 -0.8767168
-133.71428   -4.48980 -0.0773770 -0.8767310
-126.28571   -4.48980 -0.0728821 -0.8767436
-118.85714   -4.48980 -0.0683875 -0.8767547
-111.42857   -4.48980 -0.0638934 -0.8767643
-104.00000   -4.48980 -0.0593995 -0.8767723
 -96.57143   -4.48980 -0.0549060 -0.8767788
 -89.14285   -4.48980 -0.0504128 -0.8767837
 -81.71428   -4.48980 -0.0459198 -0.8767871
 -74.28571   -4.48980 -0.0414271 -0.8767890
 -66.85714   -4.48980 -0.0369345 -0.8767893
 -59.42857   -4.48980 -0.0324422 -0.8767881
 -52.00000   -4.48980 -0.0279501 -0.8767854
 -44.57143   -4.48980 -0.0234581 -0.8767811
 -37.14286   -4.48980 -0.0189662 -0.8767753
 -29.71428   -4.48980 -0.0144744 -0.8767680
 -22.28571   -4.48980 -0.0099827 -0.8767591
 -14.85714   -4.48980 -0.0054911 -0.8767487
  -7.42857   -4.48980 -0.0009995 -0.8767368
   0.00000   -4.48980  0.0034921 -0.8767233
   7.42857   -4.48980  0.0079836 -0.8767083
  14.85714   -4.48980  0.0124753 -0.8766918
  22.28571   -4.48980  0.0169670 -0.8766737
  29.71428   -4.48980  0.0214587 -0.8766541
  37.14286   -4.48980  0.0259506 -0.8766330
